Cat,SubCat,Comments,Sign_Text,Arrow_Direction,Sign_ID,Street,Street_Address,X_Street,Corner,Distance_Along_Street,Distance_From_Curb,Sign_Code,Grade,Traffic_Direction,Structure,Situation,Condition,Speed,Date_,Confidence,TYPE_,Sign_Definition,X,Y
Regulatory Tabs,3 and 4 Way Tab,,,,36865,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020607,High,Tabs,4 Way,-122.920031799914,49.2110943101057
Regulatory Tabs,3 and 4 Way Tab,,,,36868,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020607,High,Tabs,4 Way,-122.918321799367,49.2094067596489
Regulatory Tabs,3 and 4 Way Tab,,,,36869,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020607,High,Tabs,4 Way,-122.918110500587,49.2095541399894
Regulatory Tabs,3 and 4 Way Tab,,,,36870,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020607,High,Tabs,4 Way,-122.917921299977,49.2094103203384
Regulatory Tabs,3 and 4 Way Tab,,,,36871,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020607,High,Tabs,4 Way,-122.914087099931,49.2114865501872
Regulatory Tabs,3 and 4 Way Tab,,,,36872,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020607,High,Tabs,4 Way,-122.914236999375,49.2115990495931
Regulatory Tabs,3 and 4 Way Tab,,,,36873,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020607,High,Tabs,4 Way,-122.914069799448,49.2117292301499
Regulatory Tabs,3 and 4 Way Tab,,,,36874,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020607,High,Tabs,4 Way,-122.91392059972,49.2116027901559
Regulatory Tabs,3 and 4 Way Tab,,,,36941,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020611,High,Tabs,4 Way,-122.898459599317,49.2280586504275
Regulatory Tabs,3 and 4 Way Tab,,,,36942,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020611,High,Tabs,4 Way,-122.898703400384,49.2280421000012
Regulatory Tabs,3 and 4 Way Tab,,,,36943,SHERBROOKE ST,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020611,High,Tabs,4 Way,-122.898723799804,49.2278839101268
Regulatory Tabs,3 and 4 Way Tab,,,,36944,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020611,High,Tabs,4 Way,-122.898463699517,49.227904979883
Regulatory Tabs,3 and 4 Way Tab,,,,36948,,,,,,,T-3Way,Engineering,SB,Metal Post,Side,Good,0,20020611,High,Tabs,3 Way,-122.898739899407,49.2265875602647
Regulatory Tabs,3 and 4 Way Tab,,,,36952,,,,,,,T-3Way,Engineering,NB,Metal Post,Side,Good,0,20020611,High,Tabs,3 Way,-122.898503299546,49.2264264300535
Regulatory Tabs,3 and 4 Way Tab,,,,36958,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020611,High,Tabs,4 Way,-122.89892740038,49.2206506197887
Regulatory Tabs,3 and 4 Way Tab,,,,36959,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020611,High,Tabs,4 Way,-122.898969100471,49.2204434402562
Regulatory Tabs,3 and 4 Way Tab,,,,36960,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020611,High,Tabs,4 Way,-122.89865270028,49.2204279898662
Regulatory Tabs,3 and 4 Way Tab,,,,36961,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020611,High,Tabs,4 Way,-122.898643900178,49.220631570364
Regulatory Tabs,3 and 4 Way Tab,,,,36993,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020611,High,Tabs,4 Way,-122.902455100018,49.2251419996325
Regulatory Tabs,3 and 4 Way Tab,,,,36995,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020611,High,Tabs,4 Way,-122.90248149985,49.2253106696606
Regulatory Tabs,3 and 4 Way Tab,,,,36997,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020611,High,Tabs,4 Way,-122.902731899731,49.2252902303433
Regulatory Tabs,3 and 4 Way Tab,,,,36999,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020611,High,Tabs,4 Way,-122.902748899619,49.2251118001733
Regulatory Tabs,3 and 4 Way Tab,,,,37090,,,,,,,T-4Way,Engineering,NB,Wooden Post,Side,Good,0,20020612,High,Tabs,4 Way,-122.891366299348,49.2295981096573
Regulatory Tabs,3 and 4 Way Tab,,,,37091,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020612,High,Tabs,4 Way,-122.891615899354,49.2295873896823
Regulatory Tabs,3 and 4 Way Tab,,,,37093,,,,,,,T-4Way,Engineering,WB,Wooden Post,Side,Good,0,20020612,High,Tabs,4 Way,-122.891353299952,49.2297743100613
Regulatory Tabs,Regulatory Tabs Misc,,,Through,37102,,,,,,,IB-7,Engineering,SB,Lamp Standard,Side,Good,0,20020521,High,Tabs,Through Arrow,-122.933532099428,49.1878130496826
Regulatory Tabs,Regulatory Tabs Misc,,Cycling Prohibited,,37105,,,,,,,RB-67T,Engineering,NB,Lamp Standard,Side,Good,0,20020523,Medium,Tabs,CYCLING PROHIBITED,-122.948028599577,49.2003749497261
Regulatory Tabs,Regulatory Tabs Misc,,Cycling Prohibited,,37106,,,,,,,RB-67T,Engineering,NB,Metal Post,Side,Good,0,20020523,Medium,Tabs,CYCLING PROHIBITED,-122.947920899771,49.200403539562
Regulatory Tabs,Regulatory Tabs Misc,,Except Bicycles,,37109,,,,,,,RB-30T,Engineering,WB,Metal Post,Side,Good,0,20020527,High,Tabs,EXCEPT BICYCLES,-122.930645400375,49.2037292195909
Regulatory Tabs,Regulatory Tabs Misc,,Right Lane,,37111,,,,,,,RB-41RT,Engineering,NB,Sign Bridge,Side,Good,0,20020612,High,Tabs,RIGHT LANE,-122.892833200635,49.221538549798
Regulatory Tabs,Regulatory Tabs Misc,,Transit Vehicles Only,,37112,,,,,,,RB-23BT,Engineering,SB,Metal Post,Side,Good,0,20020612,High,Tabs,Transit vehicles Only,-122.882521900477,49.2321595600361
Regulatory Tabs,Regulatory Tabs Misc,,Transit Vehicles Only,,37113,,,,,,,RB-23BT,Engineering,WB,Metal Post,Side,Good,0,20020612,High,Tabs,Transit vehicles Only,-122.882713800003,49.2319839904266
Regulatory Tabs,Regulatory Tabs Misc,,Except Transit Vehicles,,37114,,,,,,,RB-15BT,Engineering,EB,Metal Post,Side,Good,0,20020612,High,Tabs,Except Transit Vehicles,-122.883451200685,49.2323594404099
Regulatory Tabs,Regulatory Tabs Misc,,Transit Vehicles Only,,37115,,,,,,,RB-23BT,Engineering,NB,Metal Post,Side,Good,0,20020612,High,Tabs,Transit vehicles Only,-122.883193199522,49.2325890499738
Regulatory Tabs,Regulatory Tabs Misc,,Transit Vehicles Only,,37116,,,,,,,RB-23BT,Engineering,NB,Metal Post,Side,Good,0,20020612,High,Tabs,Transit vehicles Only,-122.883320300664,49.2325906203585
Regulatory Tabs,Regulatory Tabs Misc,,No Heavy Trucks 9 PM - 7 AM,,37117,,,,,,,RB-62-7T,Engineering,EB,Wooden Post,Side,Good,0,20020523,High,Tabs,NO HEAVY TRUCKS 9 PM- 7 AM,-122.944135900607,49.2099195899691
Regulatory Tabs,Regulatory Tabs Misc,,Except Bicycles,,37118,,,,,,,RB-30T,Engineering,EB,Metal Post,Side,Good,0,20020524,High,Tabs,EXCEPT BICYCLES,-122.940924000038,49.2116518200048
Regulatory Tabs,Regulatory Tabs Misc,,Except Bicycles,,37119,,,,,,,RB-30T,Engineering,WB,Metal Post,Side,Good,0,20020522,High,Tabs,EXCEPT BICYCLES,-122.950200699563,49.2040951502858
Regulatory Tabs,3 and 4 Way Tab,,,,37175,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.923614299703,49.2037774800097
Regulatory Tabs,3 and 4 Way Tab,,,,37177,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.923419599943,49.2038969903541
Regulatory Tabs,3 and 4 Way Tab,,,,37178,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.923571499395,49.2040138103569
Regulatory Tabs,3 and 4 Way Tab,,,,37180,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.923771800142,49.2039024397028
Regulatory Tabs,3 and 4 Way Tab,,,,37190,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.90647779955,49.2132326696981
Regulatory Tabs,3 and 4 Way Tab,,,,37192,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.906665600178,49.2131219897994
Regulatory Tabs,3 and 4 Way Tab,,,,37193,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.906532599484,49.2129852996534
Regulatory Tabs,3 and 4 Way Tab,,,,37196,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.90633309983,49.2131087395582
Regulatory Tabs,3 and 4 Way Tab,,,,37236,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.914205299867,49.2064649198671
Regulatory Tabs,3 and 4 Way Tab,,,,37240,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.913976200062,49.206274699581
Regulatory Tabs,3 and 4 Way Tab,,,,37242,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.914284100317,49.2061368902828
Regulatory Tabs,3 and 4 Way Tab,,,,37244,,,,,,,T-4Way,Engineering,EB,Metal Post,Median,Good,0,20020626,High,Tabs,4 Way,-122.914328899643,49.2061973503136
Regulatory Tabs,3 and 4 Way Tab,,,,37246,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.914452800578,49.2063305896011
Regulatory Tabs,3 and 4 Way Tab,,,,41115,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.919270600134,49.2037325698658
Regulatory Tabs,3 and 4 Way Tab,,,,41117,TENTH ST,,QUEENS AVE,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.919032200363,49.2035301598906
Regulatory Tabs,3 and 4 Way Tab,,,,41118,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.919237000208,49.2034033400227
Regulatory Tabs,3 and 4 Way Tab,,,,41120,,,,,,,T-4Way,Engineering,EB,Metal Post,Median,Good,0,20020626,High,Tabs,4 Way,-122.919304999501,49.2034653102895
Regulatory Tabs,3 and 4 Way Tab,,,,41121,TENTH ST,,QUEENS AVE,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020626,High,Tabs,4 Way,-122.919503899624,49.2036259701876
Regulatory Tabs,Regulatory Tabs Misc,,Except Buses,,41154,,,,,,,RB-41BT,Engineering,WB,Metal Post,Side,Good,0,20020715,High,Tabs,EXCEPT BUSES,-122.904541800343,49.2093509903617
Regulatory Tabs,Regulatory Tabs Misc,,Except Bicycles,,41157,,,,,,,RB-30T,Engineering,NB,Metal Post,Median,Good,0,20020715,High,Tabs,EXCEPT BICYCLES,-122.903224499819,49.2096260298224
Regulatory Tabs,Regulatory Tabs Misc,,Except Bicycles,,41164,,,,,,,RB-30T,Engineering,NB,Metal Post,Median,Good,0,20020715,High,Tabs,EXCEPT BICYCLES,-122.90178749992,49.2103966397515
Regulatory Tabs,Regulatory Tabs Misc,,Except Bridge Traffic,,41206,,,,,,,RB-NW-61S,Engineering,SB,Lamp Standard,Side,Good,0,20020715,High,Tabs,EXCEPT BRIDGE TRAFFIC,-122.897426699819,49.2115083301027
Regulatory Tabs,Regulatory Tabs Misc,,Except Bicycles,,41226,,,,,,,RB-30T,Engineering,NB,Metal Post,Median,Good,0,20020715,High,Tabs,EXCEPT BICYCLES,-122.901109300592,49.2107464896723
Regulatory Tabs,Do Not Enter Tab,,Do Not Enter,,41246,,,,,,,RB-23T,Engineering,NB,Lamp Standard,Side,Good,0,20020716,High,Tabs,DO NOT ENTER,-122.91137470022,49.206284080359
Regulatory Tabs,Regulatory Tabs Misc,,Left Lane,,41252,,,,,,,RB-41LT,Engineering,WB,Lamp Standard,Median,Good,0,20020716,High,Tabs,LEFT LANE,-122.912116299839,49.2051058701377
Regulatory Tabs,Do Not Enter Tab,,,,41274,,,,,,,RB-23T,Engineering,WB,Metal Post,Side,Dirty,0,20020716,High,Tabs,DO NOT ENTER,-122.921271799967,49.2012364096138
Regulatory Tabs,Do Not Enter Tab,,Do Not Enter,,41275,,,,,,,RB-23T,Engineering,EB,Metal Post,Side,Dirty,0,20020716,High,Tabs,DO NOT ENTER,-122.921194699718,49.2011755200047
Regulatory Tabs,Regulatory Tabs Misc,,,,41349,,,,,,,RB-23BT,Engineering,NB,Metal Post,Median,Good,0,20020722,High,Tabs,Transit vehicles Only,-122.912855399976,49.2008112696579
Regulatory Tabs,Regulatory Tabs Misc,,,,41351,,,,,,,RB-23BT,Engineering,NB,Lamp Standard,Side,Good,0,20020722,High,Tabs,Transit vehicles Only,-122.912889100266,49.2006940403974
Regulatory Tabs,Regulatory Tabs Misc,,,,41393,,,,,,,RB-30T,Engineering,NB,Metal Post,Median,Good,0,20020722,High,Tabs,EXCEPT BICYCLES,-122.904691200226,49.205050989989
Regulatory Tabs,Regulatory Tabs Misc,,,,41395,,,,,,,RB-30T,Engineering,WB,Metal Post,Side,Good,0,20020722,High,Tabs,EXCEPT BICYCLES,-122.904635399965,49.2051037499242
Regulatory Tabs,Do Not Enter Tab,,,,41430,,,,,,,RB-23T,Diamond,WB,Wooden Post,Median,Good,0,20020724,High,Tabs,DO NOT ENTER,-122.950282800301,49.1979974601437
Regulatory Tabs,Do Not Enter Tab,,,,41433,,,,,,,RB-23T,Diamond,WB,Wooden Post,Median,Good,0,20020724,High,Tabs,DO NOT ENTER,-122.950121999604,49.1979261695727
Regulatory Tabs,Do Not Enter Tab,,,,41475,,,,,,,RB-23T,Diamond,NB,Metal Post,Side,Good,0,20020724,High,Tabs,DO NOT ENTER,-122.933438600252,49.2038283603379
Regulatory Tabs,Do Not Enter Tab,,,,41480,,,,,,,RB-23T,Diamond,WB,Utility Pole,Median,Damaged,0,20020724,High,Tabs,DO NOT ENTER,-122.933609400202,49.2038336804088
Regulatory Tabs,3 and 4 Way Tab,,,,41502,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020724,High,Tabs,4 Way,-122.915965700048,49.1990135599875
Regulatory Tabs,3 and 4 Way Tab,,,,41504,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020724,High,Tabs,4 Way,-122.91597630026,49.198783170017
Regulatory Tabs,3 and 4 Way Tab,,,,41506,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020724,High,Tabs,4 Way,-122.915638600516,49.1988280596061
Regulatory Tabs,3 and 4 Way Tab,,,,41509,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020724,High,Tabs,4 Way,-122.915618700389,49.1990180196433
Regulatory Tabs,3 and 4 Way Tab,,,,41528,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020724,Medium,Tabs,4 Way,-122.907392700215,49.2027449695617
Regulatory Tabs,3 and 4 Way Tab,,,,41530,,,,,,,T-4Way,Engineering,SB,Pillar,Median,Good,0,20020724,Medium,Tabs,4 Way,-122.907308299785,49.2026786001979
Regulatory Tabs,3 and 4 Way Tab,,,,41542,,,,,,,T-4Way,Engineering,WB,Pillar,Median,Good,0,20020724,Medium,Tabs,4 Way,-122.907174899688,49.2028294396094
Regulatory Tabs,3 and 4 Way Tab,,,,41880,PEMB,,,,,,T-4Way,Engineering,NB,Metal Post,Median,Good,0,20020808,High,Tabs,4 Way,-122.936728900636,49.1902834204292
Regulatory Tabs,3 and 4 Way Tab,,,,42133,,,,,,,T-4Way,Engineering,SB,Metal Post,Median,Good,0,20020527,High,Tabs,4 Way,-122.923335199915,49.2067331998065
Regulatory Tabs,3 and 4 Way Tab,,,,42134,,,,,,,T-4Way,Engineering,NB,Metal Post,Median,Good,0,20020527,High,Tabs,4 Way,-122.923078200228,49.2066533900063
Regulatory Tabs,3 and 4 Way Tab,,,,46376,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Damaged,0,20020527,High,Tabs,4 Way,-122.925342700011,49.2082091203267
Regulatory Tabs,Regulatory Tabs Misc,,,,46409,MCBRIDE BLVD,,COLUMBIA ST,NW,45m,1m,RB-NW-61S,Engineering,SB,Lamp Standard,Side,Good,,20030428,,Tabs,EXCEPT BRIDGE TRAFFIC,-122.898221724792,49.2114087089193
Regulatory Tabs,3 and 4 Way Tab,,,,46828,,,,,,,T-4Way,Engineering,NB,Wooden Post,Side,Good,0,20020527,High,Tabs,4 Way,-122.923005299449,49.2067095503282
Regulatory Tabs,Regulatory Tabs Misc,,Except Buses,,46863,,,,,,,RB-41BT,Engineering,SB,Lamp Standard,Side,Good,0,20020607,High,Tabs,EXCEPT BUSES,-122.920601200614,49.2131655399732
Regulatory Tabs,Regulatory Tabs Misc,,,,47131,,,,,,,RB-41BT,Engineering,EB,Metal Post,Side,Good,0,20020724,High,Tabs,EXCEPT BUSES,-122.920451899868,49.2129563499679
Regulatory Tabs,Regulatory Tabs Misc,corrugated plastic sign,,,75109,,,,,,,WB-12T,,NB,Standard Post,Side,Good,0,20030718,,Tabs,"""NEW"" tab",-122.914751000484,49.2105920001798
Regulatory Tabs,Regulatory Tabs Misc,corrugated plastic sign,,,75112,,,,,,,WB-12T,,WB,Standard Post,Side,Good,0,20030718,,Tabs,"""NEW"" tab",-122.914719000465,49.2113189999869
