Cat,SubCat,Comments,Sign_Text,Arrow_Direction,Sign_ID,Street,Street_Address,X_Street,Corner,Distance_Along_Street,Distance_From_Curb,Sign_Code,Grade,Traffic_Direction,Structure,Situation,Condition,Speed,Date_,Confidence,TYPE_,Sign_Definition,X,Y
Warning Signs,School Area,,,,36399,,,,,,,WC-01,Diamond,SB,Metal Post,Side,Good,0,20020523,High,Warning,School Area,-122.944528799781,49.2053988202772
Warning Signs,School Area,,,Ahead Arrow,36403,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020523,High,Warning,School Area,-122.945186899492,49.2044222497864
Warning Signs,School Area,,,,36436,,,,,,,WC-01,Diamond,NB,Metal Post,Side,Good,0,20020517,High,Warning,School Area,-122.941572199547,49.1845803598018
Warning Signs,School Area,,,,36496,,,,,,,WC-01,Diamond,WB,Metal Post,Side,Good,0,20020528,High,Warning,School Area,-122.909779299993,49.2252821597018
Warning Signs,School Area,,,,36508,CUMBERLAND ST,823,,,,,WC-01,Diamond,NB,Lamp Standard,Side,Good,0,20020606,High,Warning,School Area,-122.909488700493,49.2252975697428
Warning Signs,School Area,,,,36511,,,,,,,WC-01,Diamond,WB,Metal Post,Side,Good,0,20020606,Medium,Warning,School Area,-122.911120599605,49.2268749096606
Warning Signs,School Area,Blue Sign,30 km/h,,36514,,,,,,,WC-01,Engineering,SB,Billboard,Side,Good,30,20020606,High,Warning,School Area,-122.911699900639,49.2267442803476
Warning Signs,School Area,Blue Sign,30 km/h,,36517,,,,,,,WC-01,Engineering,NB,Billboard,Side,Good,30,20020606,High,Warning,School Area,-122.910164999685,49.2256238998671
Warning Signs,School Area,,,,36568,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020523,High,Warning,School Area,-122.943478200512,49.2040726804023
Warning Signs,School Area,,,,36570,,,,,,,WC-01,Diamond,NB,Metal Post,Side,Good,0,20020523,High,Warning,School Area,-122.942727899469,49.2042218900099
Warning Signs,School Area,,,,36572,,,,,,,WC-01,Diamond,NB,Metal Post,Side,Good,0,20020523,High,Warning,School Area,-122.941087099683,49.2050469598471
Warning Signs,School Area,,,,36574,,,,,,,WC-01,Diamond,WB,Metal Post,Side,Good,0,20020523,High,Warning,School Area,-122.940364799878,49.2059786897818
Warning Signs,School Area,,,,36576,,,,,,,WC-01,Diamond,NB,Metal Post,Side,Good,0,20020523,High,Warning,School Area,-122.940217600595,49.205494250336
Warning Signs,School Area,,,,36580,,,,,,,WC-01,Diamond,NB,Utility Pole,Side,Good,0,20020523,High,Warning,School Area,-122.941600000222,49.2047951802066
Warning Signs,School Area,,,Ahead Arrow,36595,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020524,High,Warning,School Area,-122.937301099455,49.2135913499055
Warning Signs,School Area,Diamond Shape,,,36596,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020524,High,Warning,School Area,-122.936984899748,49.2137640401861
Warning Signs,School Area,,,,36597,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020524,High,Warning,School Area,-122.936661599421,49.2139353197404
Warning Signs,Playground Ahead,Flourescent Yellow,,Ahead Arrow,36610,,,,,,,WC-03,Diamond,SB,Metal Post,Side,Good,0,20020524,High,Warning,Playground Ahead,-122.931092100581,49.2128327900614
Warning Signs,Playground Ahead,736 Tenth St,,,36615,,,,,,,WC-03,Diamond,SB,Metal Post,Side,Good,0,20020524,High,Warning,Playground Ahead,-122.930446700171,49.2123076696132
Warning Signs,Playground Ahead,,,,36618,,,,,,,WC-03,Diamond,WB,Metal Post,Side,Good,0,20020524,High,Warning,Playground Ahead,-122.927917499849,49.2139793496965
Warning Signs,School Area,730 Tenth St,,,36620,,,,,,,WC-01,Diamond,SB,Metal Post,Side,Good,0,20020524,High,Warning,School Area,-122.93000649936,49.2119422203148
Warning Signs,School Area,,,,36628,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020524,High,Warning,School Area,-122.931283200619,49.2106516100583
Warning Signs,School Area,,,,36633,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020527,High,Warning,School Area,-122.930532700218,49.2097502596341
Warning Signs,School Area,Blue Sign,30 km/h,,36637,,,,,,,WC-01,Engineering,SB,Billboard,Side,Good,30,20020527,High,Warning,School Area,-122.929464299538,49.2115158296753
Warning Signs,School Area,Blue Sign,30 km/h,,36638,,,,,,,WC-01,Engineering,NB,Billboard,Side,Good,30,20020527,High,Warning,School Area,-122.928902200371,49.2114791800851
Warning Signs,School Area,626 Tenth St,,,36641,,,,,,,WC-01,Diamond,NB,Metal Post,Side,Good,0,20020527,High,Warning,School Area,-122.928028300197,49.210706460059
Warning Signs,Playground Ahead,,,,36649,,,,,,,WC-03,Engineering,SB,Metal Post,Side,Good,0,20020527,High,Warning,Playground Ahead,-122.93439559932,49.2050025899552
Warning Signs,Playground Ahead,Tenth St & Sixth Ave,,,36653,,,,,,,WC-03,Engineering,NB,Metal Post,Side,Stickers,0,20020527,High,Warning,Playground Ahead,-122.926354299406,49.2093671703928
Warning Signs,Playground Ahead,,,,36716,,,,,,,WC-03,Diamond,SB,Metal Post,Side,Good,0,20020528,High,Warning,Playground Ahead,-122.927607699385,49.2137880700662
Warning Signs,Playground Ahead,,,,36722,,,,,,,WC-03,Engineering,WB,Metal Post,Side,Good,0,20020528,High,Warning,Playground Ahead,-122.917988900077,49.2218038000259
Warning Signs,School Area,,,,36724,,,,,,,WC-01,Engineering,WB,Metal Post,Side,Good,0,20020528,High,Warning,School Area,-122.917358599568,49.2214925201369
Warning Signs,School Area,SOUTH OF TENTH AVE E,,,36763,CUMBERLAND ST,,,,,,WC-01,Diamond,SB,Metal Post,Side,Good,0,20020528,High,Warning,School Area,-122.911940999941,49.2269597498116
Warning Signs,School Area,,,,36765,,,,,,,WC-01,Diamond,EB,Lamp Standard,Side,Good,0,20020528,High,Warning,School Area,-122.913550600045,49.2254321800346
Warning Signs,School Area,,,,36782,,,,,,,WC-01,Diamond,SB,Metal Post,Side,Good,0,20020606,High,Warning,School Area,-122.913395999468,49.2184656797636
Warning Signs,School Area,,,,36788,,,,,,,WC-01,Diamond,SB,Metal Post,Side,Good,0,20020606,High,Warning,School Area,-122.915178700356,49.2172396204325
Warning Signs,School Area,,,,36790,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020606,High,Warning,School Area,-122.915419899431,49.2168054297099
Warning Signs,School Area,,,,36796,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020606,High,Warning,School Area,-122.912169699954,49.2196519898266
Warning Signs,School Area,,,,36803,,,,,,,WC-01,Diamond,SB,Lamp Standard,Side,Good,0,20020606,High,Warning,School Area,-122.912460200242,49.2205280198396
Warning Signs,School Area,,,,36805,,,,,,,WC-01,Diamond,NB,Lamp Standard,Side,Good,0,20020606,High,Warning,School Area,-122.911174500493,49.2200133596777
Warning Signs,Warning Signs Misc,,,,36814,,,,,,,WC-02,Engineering,WB,Metal Post,Side,Good,0,20020606,High,Warning,Pedestrian Crosswalk Ahead,-122.911533300518,49.2180087600193
Warning Signs,School Area,,,,36815,,,,,,,WC-01,Diamond,WB,Metal Post,Side,Good,0,20020606,High,Warning,School Area,-122.911682999784,49.2179261998825
Warning Signs,School Area,,,,36819,,,,,,,WC-01,Diamond,NB,Metal Post,Side,Good,0,20020606,Medium,Warning,School Area,-122.911768399952,49.2174233302039
Warning Signs,School Area,Blue Sign,30 km/h,,36826,,,,,,,WC-01,Engineering,WB,Billboard,Side,Good,30,20020606,High,Warning,School Area,-122.912347799382,49.2175805104231
Warning Signs,School Area,Blue Sign,30 km/h,,36827,,,,,,,WC-01,Engineering,EB,Billboard,Side,Good,30,20020606,High,Warning,School Area,-122.913836200205,49.2166745797049
Warning Signs,School Area,,,,36828,,,,,,,WC-01,Diamond,NB,Metal Post,Side,Good,0,20020606,High,Warning,School Area,-122.913577400293,49.2163093597479
Warning Signs,School Area,,,,36831,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020606,High,Warning,School Area,-122.914322499562,49.216281239656
Warning Signs,Playground Ahead,,,,36848,,,,,,,WC-03,Engineering,NB,Metal Post,Side,Good,0,20020607,High,Warning,Playground Ahead,-122.910762800283,49.2166331096182
Warning Signs,Playground Ahead,,,,36883,,,,,,,WC-03,Engineering,SB,Metal Post,Side,Dirty,0,20020610,High,Warning,Playground Ahead,-122.904650800421,49.230851049973
Warning Signs,Playground Ahead,,,,36885,,,,,,,WC-03,Diamond,EB,Metal Post,Side,Good,0,20020610,High,Warning,Playground Ahead,-122.902548799846,49.232341920043
Warning Signs,School Area,,,Ahead Arrow,36891,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020610,Medium,Warning,School Area,-122.899088100097,49.2342097402286
Warning Signs,School Area,Diamond Shape,,,36894,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020610,High,Warning,School Area,-122.8987674997,49.2343661597135
Warning Signs,School Area,,,,36896,,,,,,,WC-01,Diamond,EB,Lamp Standard,Side,Good,0,20020610,High,Warning,School Area,-122.89787139993,49.2348472897695
Warning Signs,Playground Ahead,,,,36904,,,,,,,WC-03,Engineering,SB,Metal Post,Side,Good,0,20020610,High,Warning,Playground Ahead,-122.892399899865,49.2371093004185
Warning Signs,Warning Signs Misc,,,,36910,,,,,,,WC-02,Engineering,SB,Lamp Standard,Side,Good,0,20020610,High,Warning,Pedestrian Crosswalk Ahead,-122.892783800156,49.2342342502108
Warning Signs,School Area,Blue Sign,,,36924,,,,,,,WC-01,Engineering,SB,Lamp Standard,Side,Good,0,20020610,High,Warning,School Area,-122.892921900003,49.2319869600288
Warning Signs,School Area,,,,36933,,,,,,,WC-01,Diamond,SB,Metal Post,Side,Good,0,20020610,Medium,Warning,School Area,-122.901331900032,49.2274508703119
Warning Signs,School Area,,,,36945,,,,,,,WC-01,Diamond,SB,Metal Post,Side,Good,0,20020611,High,Warning,School Area,-122.898720300242,49.2274887802814
Warning Signs,School Area,Blue Sign,30 km/h,,36947,,,,,,,WC-01,Engineering,SB,Billboard,Side,Good,30,20020611,High,Warning,School Area,-122.898732199517,49.2270279499149
Warning Signs,School Area,,,,36950,,,,,,,WC-01,Diamond,WB,Metal Post,Side,Good,0,20020611,High,Warning,School Area,-122.898097600509,49.2266214500147
Warning Signs,School Area,,,,36953,,,,,,,WC-01,Diamond,NB,Metal Post,Side,Good,0,20020611,Medium,Warning,School Area,-122.898518700169,49.2258656104372
Warning Signs,School Area,Blue Sign,30 km/h,,36957,,,,,,,WC-01,Engineering,NB,Billboard,Side,Good,30,20020611,High,Warning,School Area,-122.898524500077,49.225231829826
Warning Signs,School Area,,,,36972,,,,,,,WC-01,Diamond,NB,Metal Post,Side,Good,0,20020611,Medium,Warning,School Area,-122.901155100399,49.2259470295535
Warning Signs,School Area,,,,37000,,,,,,,WC-01,Diamond,NB,Metal Post,Side,Good,0,20020612,High,Warning,School Area,-122.891280200506,49.233210299677
Warning Signs,School Area,,,,37084,,,,,,,WC-01,Diamond,NB,Metal Post,Side,Good,0,20020612,High,Warning,School Area,-122.890005700611,49.2324339496398
Warning Signs,School Area,,,,37094,,,,,,,WC-01,Diamond,WB,Metal Post,Side,Good,0,20020612,High,Warning,School Area,-122.889494200453,49.2332899401182
Warning Signs,School Area,Blue Sign,30 km/h,,37096,,,,,,,WC-01,Engineering,SB,Billboard,Side,Good,30,20020612,High,Warning,School Area,-122.890315700606,49.233155619713
Warning Signs,School Area,,,,37248,,,,,,,WC-01,Diamond,WB,Metal Post,Side,Good,0,20020626,High,Warning,School Area,-122.916030400652,49.2054813796946
Warning Signs,School Area,Blue Sign,30 km/h,,37251,,,,,,,WC-01,Engineering,SB,Billboard,Side,Good,30,20020626,Medium,Warning,School Area,-122.916471300395,49.2049243301161
Warning Signs,School Area,,,,37252,,,,,,,WC-01,Diamond,WB,Metal Post,Side,Good,0,20020626,High,Warning,School Area,-122.916675899755,49.2051022699348
Warning Signs,School Area,Eighth St & Milton,,,37254,,,,,,,WC-01,Diamond,SB,Metal Post,Side,Good,0,20020626,High,Warning,School Area,-122.916979199431,49.2054239802275
Warning Signs,School Area,210 Eighth St,,,37257,,,,,,,WC-01,Diamond,SB,Metal Post,Side,Good,0,20020626,High,Warning,School Area,-122.917241899596,49.2056369902546
Warning Signs,School Area,Blue Sign,30 km/h,,41111,,,,,,,WC-01,Engineering,EB,Billboard,Side,Good,30,20020626,High,Warning,School Area,-122.918319499644,49.2039609700722
Warning Signs,School Area,,,,41112,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020626,High,Warning,School Area,-122.91841900017,49.2039112703059
Warning Signs,School Area,,,,41256,,,,,,,WC-01,Diamond,NB,Metal Post,Side,Good,0,20020716,High,Warning,School Area,-122.914703699683,49.2039954801066
Warning Signs,Warning Signs Misc,,,,41325,,,,,,,WC-02,Engineering,SB,Lamp Standard,Median,Good,0,20020722,High,Warning,Pedestrian Crosswalk Ahead,-122.913336200144,49.2010812197531
Warning Signs,Warning Signs Misc,,,,41326,,,,,,,WC-02,Engineering,NB,Lamp Standard,Median,Good,0,20020722,High,Warning,Pedestrian Crosswalk Ahead,-122.913206400143,49.2011072698355
Warning Signs,Warning Signs Misc,,,,41399,,,,,,,WC-02,Engineering,EB,Metal Post,Side,Good,0,20020722,High,Warning,Pedestrian Crosswalk Ahead,-122.902082300127,49.2061066600506
Warning Signs,Warning Signs Misc,,,,41406,,,,,,,WC-02,Engineering,WB,Metal Post,Side,Good,0,20020722,High,Warning,Pedestrian Crosswalk Ahead,-122.901321600087,49.2069260300652
Warning Signs,Warning Signs Misc,,,,41407,,,,,,,WC-02,Engineering,WB,Metal Post,Median,Good,0,20020722,Medium,Warning,Pedestrian Crosswalk Ahead,-122.901225300145,49.2068384604205
Warning Signs,Neighbourhood Speed Hump,,,,46077,,,,,,,WA-50,Engineering,NB,,,Good,,20021029,,Warning,Neighbourhood Speed Hump Sign,-122.910372762394,49.2161153218197
Warning Signs,Object Marker,,,,46206,SEVENTH AVE,,TENTH ST,NW,100M,,WA-36R,Engineering,WB,Metal Post,Side,Good,,20021126,,Warning,Object Marker (obstruction on right: lines down-left to up-right),-122.929683901577,49.2104100676797
Warning Signs,Object Marker,,,,46207,SEVENTH AVE,,TENTH ST,NW,120M,,WA-36R,Engineering,WB,Metal Post,Side,Good,,20021126,,Warning,Object Marker (obstruction on right: lines down-left to up-right),-122.92989896996,49.2102918563938
Warning Signs,Object Marker,,,,46208,SEVENTH AVE,,TENTH ST,NW,154M,,WA-36R,Engineering,WB,Metal Post,Side,Good,,20021126,,Warning,Object Marker (obstruction on right: lines down-left to up-right),-122.930236302374,49.2101142624566
Warning Signs,Warning Signs Misc,,,,46273,BOYD ST,,FENTON ST,NE,4m,46cm,WA-08B,Engineering,NB,Metal Post,Side,Good,,20030115,,Warning,Checkerboard sign with left and right arrow,-122.93891561534,49.1940372655043
Warning Signs,Playground Ahead,,,,46386,QUEENS AVE,a-529,,,,46,WC-03,Engineering,EB,Metal Post,Side,Good,,20030326,,Warning,Playground Ahead,-122.912064776142,49.2074212351498
Warning Signs,Playground Ahead,,,,46388,QUEENS AVE,,FOURTH ST,SE,7,46,WC-03,Engineering,EB,Metal Post,Side,Good,,20030326,,Warning,Playground Ahead,-122.909987443123,49.2085391531006
Warning Signs,Playground Ahead,,,,46390,QUEENS AVE,,THIRD ST,NW,7,46,WC-03,Engineering,WB,Metal Post,Side,Good,,20030326,,Warning,Playground Ahead,-122.908853889915,49.2092683435853
Warning Signs,Playground Ahead,,,,46392,QUEENS AVE,401,THIRD ST,NW,7,46,WC-03,Engineering,WB,Metal Post,Side,Good,,20030326,,Warning,Playground Ahead,-122.908856994633,49.2092658489425
Warning Signs,School Area,Blue Sign,,,47411,,,,,,,WC-01,Engineering,SB,Lamp Standard,Side,Graffitii,0,20020611,High,Warning,School Area,-122.892968899813,49.2282115101118
Warning Signs,School Area,Blue Sign,,,47923,,,,,,,WC-01,Engineering,NB,Metal Post,Side,Good,0,20020611,High,Warning,School Area,-122.898507300115,49.2252061197386
Warning Signs,Playground Ahead,634 Tenth St,,,47954,,,,,,,WC-03,Engineering,SB,Metal Post,Side,Good,0,20020527,High,Warning,Playground Ahead,-122.928481800421,49.2107321498278
Warning Signs,Playground Ahead,,,,47955,,,,,,,WC-03,Engineering,EB,Metal Post,Side,Good,0,20020527,High,Warning,Playground Ahead,-122.926316700476,49.2097721503228
Warning Signs,School Area,Blue Sign,,,47960,,,,,,,WC-01,Engineering,EB,Metal Post,Side,Good,0,20020517,High,Warning,School Area,-122.943834600233,49.1839117601935
Warning Signs,Playground Ahead,,,,47976,,,,,,,WC-03,Engineering,NB,Metal Post,Side,Good,0,20020606,High,Warning,Playground Ahead,-122.925925200438,49.2129182199936
Warning Signs,Playground Ahead,,,,47978,,,,,,,WC-03,Engineering,WB,Metal Post,Side,Good,0,20020523,High,Warning,Playground Ahead,-122.942931200214,49.2033028600789
Warning Signs,Playground Ahead,,,,47986,,,,,,,WC-03,Engineering,WB,Metal Post,Side,Good,0,20020527,High,Warning,Playground Ahead,-122.924416500306,49.2110763097526
Warning Signs,School Area,,,,47988,,,,,,,WC-01,Engineering,WB,Metal Post,Side,Good,0,20020611,High,Warning,School Area,-122.89763930051,49.2257056903153
Warning Signs,Playground Ahead,,,,47993,,,,,,,WC-03,Engineering,EB,Metal Post,Side,Good,0,20020527,High,Warning,Playground Ahead,-122.927247200471,49.2092646996945
Warning Signs,Playground Ahead,,,,47995,,,,,,,WC-03,Engineering,NB,Lamp Standard,Side,Good,0,20020607,High,Warning,Playground Ahead,-122.924028800038,49.211396640235
Warning Signs,Playground Ahead,,,,47996,SHERBROOKE ST,346,,,,,WC-03,Engineering,EB,Metal Post,Side,Good,0,20020611,High,Warning,Playground Ahead,-122.895996500305,49.2278490301833
Warning Signs,Playground Ahead,,,,48020,,,,,,,WC-03,Engineering,NB,Metal Post,Side,Good,0,20020607,High,Warning,Playground Ahead,-122.908774099835,49.2150569296697
Warning Signs,Playground Ahead,,,,48022,,,,,,,WC-03,Engineering,WB,Metal Post,Side,Good,0,20020611,High,Warning,Playground Ahead,-122.893125699992,49.2280060299022
Warning Signs,Playground Ahead,,,,48026,,,,,,,WC-03,Engineering,SB,Metal Post,Side,Good,0,20020606,High,Warning,Playground Ahead,-122.911963499632,49.2173269696278
Warning Signs,Playground Ahead,,,,48029,,,,,,,WC-03,Engineering,SB,Wooden Post,Side,Good,0,20020528,High,Warning,Playground Ahead,-122.918059199531,49.2221617303373
Warning Signs,School Area,Blue Sign,,,48041,,,,,,,WC-01,Engineering,WB,Metal Post,Side,Good,0,20020524,High,Warning,School Area,-122.929979399938,49.2128686498636
Warning Signs,Playground Ahead,,,,48048,,,,,,,WC-03,Engineering,EB,Metal Post,Side,Good,0,20020528,High,Warning,Playground Ahead,-122.918933099748,49.2210485597036
Warning Signs,Playground Ahead,,,,48066,,,,,,,WC-03,Engineering,SB,Metal Post,Side,Graffitii,0,20020607,High,Warning,Playground Ahead,-122.911501899965,49.2128214400382
Warning Signs,Playground Ahead,,,,48196,,,,,,,WC-03,Engineering,NB,Metal Post,Side,Dirty,0,20020626,High,Warning,Playground Ahead,-122.905248200078,49.212257370291
Warning Signs,Playground Ahead,,,,48197,,,,,,,WC-03,Engineering,SB,Metal Post,Side,Good,0,20020607,High,Warning,Playground Ahead,-122.910381800275,49.2160660400965
Warning Signs,Playground Ahead,,,,48847,,,,,,,WC-03,Engineering,NB,Metal Post,Side,Good,0,20020626,High,Warning,Playground Ahead,-122.906769100223,49.2134593002912
Warning Signs,Playground Ahead,,,,48848,,,,,,,WC-03,Engineering,SB,Metal Post,Side,Dirty,0,20020626,High,Warning,Playground Ahead,-122.906503399581,49.2129622399973
Warning Signs,Playground Ahead,,,,49125,,,,,,,WC-03,Diamond,WB,Metal Post,Side,Good,0,20020527,High,Warning,Playground Ahead,-122.93216509935,49.2045376596597
Warning Signs,Playground Ahead,,,,49797,,,,,,,WC-03,Engineering,SB,Metal Post,Side,Good,0,20020626,High,Warning,Playground Ahead,-122.905537000674,49.2121803103402
Warning Signs,Playground Ahead,Flourescent Yellow,,Ahead Arrow,49832,,,,,,,WC-03,Diamond,EB,Metal Post,Side,Good,0,20020524,High,Warning,Playground Ahead,-122.931129300014,49.21200008995
Warning Signs,School Area,,,Ahead Arrow,49854,,,,,,,WC-01,Diamond,WB,Metal Post,Side,Good,0,20020523,High,Warning,School Area,-122.940474899532,49.207212639999
Warning Signs,Warning Signs Misc,,,,49857,,,,,,,WC-02,Diamond,WB,Metal Post,Side,Good,0,20020626,High,Warning,Pedestrian Crosswalk Ahead,-122.921212900174,49.2027071201239
Warning Signs,Warning Signs Misc,,,,49859,,,,,,,WC-02,Diamond,EB,Metal Post,Side,Good,0,20020626,High,Warning,Pedestrian Crosswalk Ahead,-122.922177799536,49.2018636201521
Warning Signs,School Area,,,Ahead Arrow,49866,,,,,,,WC-01,Diamond,SB,Metal Post,Side,Good,0,20020522,High,Warning,School Area,-122.944946100605,49.2057298803808
Warning Signs,Playground Ahead,Tenth St & Sixth Ave,,,49885,,,,,,,WC-03,Diamond,NB,Metal Post,Side,Good,0,20020527,High,Warning,Playground Ahead,-122.926884299763,49.2097915900124
Warning Signs,Warning Signs Misc,,,,49904,,,,,,,WC-02,Diamond,EB,Metal Post,Side,Good,0,20020610,Medium,Warning,Pedestrian Crosswalk Ahead,-122.905410200126,49.2257842103349
Warning Signs,Warning Signs Misc,,,,49924,,,,,,,WC-02,Diamond,WB,Metal Post,Side,Good,0,20020610,High,Warning,Pedestrian Crosswalk Ahead,-122.894749099643,49.2316858796166
Warning Signs,Warning Signs Misc,,,,49925,,,,,,,WC-02,Diamond,WB,Metal Post,Side,Good,0,20020610,High,Warning,Pedestrian Crosswalk Ahead,-122.9037526001,49.2269272698824
Warning Signs,Warning Signs Misc,,,,75000,,,,,,,WA-33R,Diamond,NB,Standard Post,Side,Good,0,20031107,,Warning,Lane Ends Sign (lane on right ends),-122.912119999565,49.2067729998545
Warning Signs,Object Marker,tall skinny sign on pole,,,75002,,,,,,,WA-36R,Diamond,SB,Standard Post,Side,Good,0,20031107,,Warning,Object Marker (obstruction on right: lines down-left to up-right),-122.912877999622,49.2071640004123
Warning Signs,Neighbourhood Speed Hump,,,,75003,,,,,,,WA-50,Engineering,EB,Standard Post,Side,Good,0,20031107,,Warning,Neighbourhood Speed Hump Sign,-122.910332999952,49.208488999663
Warning Signs,Neighbourhood Speed Hump,,,,75004,,,,,,,WA-50,Engineering,WB,Standard Post,Side,Good,0,20031107,,Warning,Neighbourhood Speed Hump Sign,-122.910332999952,49.208488999663
Warning Signs,Neighbourhood Speed Hump,,,,75005,,,,,,,WA-50,Engineering,,Standard Post,Side,Good,0,20031107,,Warning,Neighbourhood Speed Hump Sign,-122.910233999637,49.2084029997416
Warning Signs,Neighbourhood Speed Hump,,,,75006,,,,,,,WA-50,Engineering,EB,Standard Post,Side,Good,0,20031107,,Warning,Neighbourhood Speed Hump Sign,-122.910235000565,49.2084059995497
Warning Signs,Neighbourhood Speed Hump,,,,75007,,,,,,,WA-50,Engineering,WB,Standard Post,Side,Good,0,20031107,,Warning,Neighbourhood Speed Hump Sign,-122.908565000215,49.2092999999694
Warning Signs,Neighbourhood Speed Hump,,,,75008,,,,,,,WA-50,Engineering,EB,Standard Post,Side,Good,0,20031107,,Warning,Neighbourhood Speed Hump Sign,-122.908562000265,49.2093030002226
