NwID,FULLADDR1
5456000,307 QUEENS AVE
4485000,202 E DURHAM ST
9177000,1312 EIGHTH AVE
4624000,913 LAUREL ST
2808000,410 KELLY ST
5425000,219 SECOND ST
4188000,527 GARFIELD ST
7028000,726 FIFTH AVE
6672000,433 THIRD ST
10215000,911 EDINBURGH ST
2786000,484 E COLUMBIA ST
4103000,437 ELMER ST
7535000,1920 SIXTH AVE
9566000,830 THIRTEENTH ST
4494006,135 E SEVENTH AVE
7934000,1414 HAMILTON ST
12489041,1223 SALTER ST
4368000,315 RICHMOND ST
4686000,926 CHESTNUT ST
6682000,436 SECOND ST
7633000,1814 NANAIMO ST
15754000,2128 SEVENTH AVE
13081000,241 PEMBINA ST
15562000,2141 EDINBURGH ST
12440050,199 SUZUKI ST
7910000,1500 EIGHTH AVE
7719000,1628 SEVENTH AVE
9085000,1042 SEVENTH AVE
8557000,595 SIXTH ST
2903000,463 GARRETT ST
16275922,2239 HAMILTON ST
3842000,354 SIMPSON ST
15667000,2009 LONDON ST
4782000,821 BURNABY ST
4131000,544 RICHMOND ST
14503000,270 HOLLY AVE
6679001,209 ST. PATRICK ST
5174000,830 WILLIAM ST
5775000,230 ASH ST
7782000,717 BOWLER ST
5807001,610 WELSH ST
5827000,224 THIRD ST
15659000,2012 NINTH AVE
12310039,191 HENDRY PL
2865000,416 FADER ST
11453000,207 EIGHTH AVE
12489006,1238 GALBRAITH AVE
4656000,927 CHESTNUT ST
15744000,2027 NINTH AVE
15642000,2014 LONDON ST
15359000,2224 HAMILTON ST
6096100,321 FIFTH ST
3168000,501 WILSON ST
16070912,96 E COLUMBIA ST
4753000,245 E EIGHTH AVE
405000,511 COLUMBIA ST
16275923,2237 HAMILTON ST
8467000,211 REGINA ST
15377000,2120 HAMILTON ST
13102006,431 EWEN AVE
4454000,108 E DURHAM ST
8744000,1005 FIFTH AVE
6141000,306 SIXTH ST
12440004,184 SPAGNOL ST
9842000,1726 TENTH AVE
9621000,1416 TENTH AVE
9371000,1013 LONDON ST
2844000,470 KELLY ST
16246900,1305 QUAYSIDE DR
12774000,220 HAMPTON ST
13528000,1101 EWEN AVE
12489042,1219 SALTER ST
12804001,204 HOWES ST
9132001,711 THIRTEENTH ST
6707000,424 THIRD ST
7971000,1525 HAMILTON ST
14373000,1102 SOUTH DYKE RD
9981000,1820 LONDON ST
13314012,720 RENNIE PL
12700545,1430 SALTER ST
5281000,330 CARNEGIE ST
4881000,142 E SEVENTH AVE
13314020,326 WOOD ST
6194000,317 EIGHTH ST
13948000,245 EWEN AVE
5841002,217 TOWNSEND PL
3078000,524 E COLUMBIA ST
11547000,208 BLACKMAN ST
8006000,611 SIXTEENTH ST
3886000,364 KEARY ST
7268000,420 CANFOR AVE
13270000,316 BOYNE ST
11507000,239 SANDRINGHAM AVE
12535002,222 DAWE ST
1453000,418 THIRD AVE
9993000,1825 LONDON ST
10158000,818 LONDON ST
5833000,236 THIRD AVE
1507000,647 E COLUMBIA ST
10768000,302 SEVENTH AVE
10821000,733 FIFTH ST
12440043,163 SUZUKI ST
4733000,812 SCOTT ST
14377000,1100 SOUTH DYKE RD
11473000,245 OSBORNE AVE
10898000,736 FIFTH ST
15433000,2140 EIGHTH AVE
6055000,317 PINE ST
8984000,1118 EIGHTH AVE
15606000,2214 LONDON ST
4475000,732 MASSEY ST
3860000,353 SIMPSON ST
9666000,1402 DUBLIN ST
8021000,1505 SIXTH AVE
15399000,2008 HAMILTON ST
9730000,1524 DUBLIN ST
10131000,801 LONDON ST
484000,40 FIRST ST
10122000,822 TENTH AVE
6132000,610 FOURTH AVE
2850000,459 FADER ST
1408001,50 EIGHTH ST
11491000,212 SANDRINGHAM AVE
8107000,1512 SIXTH AVE
10660000,220 DURHAM ST
6294100,
4705000,221 E EIGHTH AVE
3092000,509 KELLY ST
4537001,335 DEVOY ST
9848000,1708 TENTH AVE
2769000,415 KELLY ST
4186000,533 GARFIELD ST
15368000,2207 SEVENTH AVE
3811000,362 ALBERTA ST
9959000,1822 DUBLIN ST
250000,610 COLUMBIA ST
11338000,24 OVENS AVE
9607000,932 THIRTEENTH ST
10080000,1919 EDINBURGH ST
9540000,1211 EIGHTH AVE
1374000,115 FIRST ST
9832000,933 SEVENTEENTH ST
9873000,1707 DUBLIN ST
12320000,700 SOUTH DYKE RD
7871000,1620 HAMILTON ST
14585000,259 SALTER ST
1422100,218 FOURTH ST
6721502,417 FOURTH ST
12433000,1223 SOUTH DYKE RD
11747000,923 SIXTH ST
9792000,1619 EDINBURGH ST
4687000,928 CHESTNUT ST
16249819,2240 HAMILTON ST
7701000,1712 NANAIMO ST
10599000,723 SECOND ST
6249000,1015 THIRD AVE
8410000,506 FIRST ST
1088000,118 ELEVENTH ST
6819000,407 NINTH ST
7504000,617 TWENTIETH ST
3004000,464 WILSON ST
1548000,314 HOLMES ST
1090000,115 TWELFTH ST
8541000,516 FOURTH ST
9382000,1018 TENTH AVE
11603000,315 BLACKMAN ST
9531000,1208 EDINBURGH ST
10666000,306 DURHAM ST
3694000,505 E COLUMBIA ST
12401000,1110 SALTER ST
12410004,1210 SALTER ST
5510000,819 QUEENS AVE
4032000,406 BUCHANAN AVE
8609000,702 SIXTH AVE
1516000,566 COLBY ST
12549510,220 HUME ST
15741000,2039 NINTH AVE
13231005,348 PEMBINA ST
11746000,920 FIFTH ST
7286000,20 CAPILANO WAY
5459000,323 QUEENS AVE
2797000,457 KELLY ST
3019000,443 ROUSSEAU ST
5865000,233 SECOND ST
7933000,1416 HAMILTON ST
3247000,67 KWANTLEN CRT
6051000,311 PINE ST
10517000,44 SEVENTH AVE
1395001,118 QUEENS AVE
12519000,231 DAWE ST
12310022,117 VISCOUNT PL
15392000,2127 SEVENTH AVE
4837000,918 LADNER ST
3631000,325 WARD ST
15449000,2125 HAMILTON ST
6427000,820 KENNEDY ST
1687000,496 GLENBROOK DR
4453000,112 E DURHAM ST
4302000,720 CUMBERLAND ST
6763000,410 FIFTH ST
13982000,500 EWEN AVE
13034004,605 SALTER ST
5013000,833 CUMBERLAND ST
12549507,212 HUME ST
9140000,718 TWELFTH ST
5795000,229 ASH ST
4882000,140 E SEVENTH AVE
10788000,300 PRINCESS ST
2988000,411 ROUSSEAU ST
10772002,317 PRINCESS ST
4835000,914 LADNER ST
9170000,1305 HAMILTON ST
10609000,711 SECOND ST
7537000,1914 SIXTH AVE
9561001,1312 EDINBURGH ST
16275925,2230 HAMILTON ST
10892000,716 FIFTH ST
3743000,335 HOULT ST
4946000,120 E EIGHTH AVE
522000,44 LEOPOLD PL
15403000,708 TWENTIETH ST
13892000,313 BLACKLEY ST
11167000,55 COURTNEY CRES
3726007,309 WELLS GRAY PL
4400001,228 DEVOY ST
6992000,907 ST. ANDREWS ST
1964000,579 COLBY ST
3604001,318 WARD ST
13221000,605 EWEN AVE
4900000,101 E SIXTH AVE
5059000,836 YORK ST
11192000,39 E EIGHTH AVE
11179000,76 MOTT CRES
1068000,841 ROYAL AVE
7861000,1613 SEVENTH AVE
9461000,1107 EDINBURGH ST
784000,129 AGNES ST
8680000,815 FIFTH AVE
4519000,338 E SIXTH AVE
9996000,1837 LONDON ST
5264000,325 E EIGHTH AVE
4149000,511 AMESS ST
5845000,221 TOWNSEND PL
12440015,1363 SOUTH DYKE RD
15607000,2210 LONDON ST
9683000,1410 EDINBURGH ST
8666000,520 EIGHTH ST
11708000,505 EIGHTH AVE
1456000,502 THIRD AVE
14567000,267 FURNESS ST
3958000,356 SHERBROOKE ST
15413000,2040 EIGHTH AVE
3220000,77 SEYMOUR CRT
2320000,551 BRUNETTE AVE
15742000,2031 NINTH AVE
6286000,329 ELEVENTH ST
15546000,2118 DUBLIN ST
5702000,1014 THIRD AVE
5277000,342 CARNEGIE ST
2607000,230 KEARY ST
12352000,111 SPRICE ST
850000,126 QUEENS AVE
13061000,524 EWEN AVE
2220001,21 BRAID ST
9816000,1628 LONDON ST
10769000,238 SEVENTH AVE
12489018,1223 ECKERT AVE
6059000,318 THIRD ST
7940001,1410 HAMILTON ST
15461000,2207 HAMILTON ST
2795000,461 KELLY ST
12440086,1331 DAN LEE AVE
13145002,308 JOHNSTON ST
12440062,1291 RAMA AVE
7737000,1701 NANAIMO ST
15517000,2025 EIGHTH AVE
12310013,825 SOUTH DYKE RD
2874000,427 GARRETT ST
5236000,825 CHERRY ST
6048000,303 THIRD AVE
4297000,202 E SEVENTH AVE
12800000,228 HOWES ST
10611000,120 DURHAM ST
15431000,743 TWENTY-FIRST ST
6889001,433 ELEVENTH ST
10002000,1816 TENTH AVE
13972015,271 SALTER ST
12782000,217 JARDINE ST
12676506,
12440048,187 SUZUKI ST
3784000,317 NOOTKA ST
15602000,2232 LONDON ST
8079000,516 FOURTEENTH ST
15783000,650 TWENTIETH ST
2937000,403 WILSON ST
836000,130 SECOND ST
791000,37 AGNES ST
10743000,221 SIXTH AVE
7727000,1606 SEVENTH AVE
7975000,1521 HAMILTON ST
7830000,1834 EIGHTH AVE
4888000,120 E SEVENTH AVE
4695000,910 BURNABY ST
2880000,411 GARRETT ST
9665000,1404 DUBLIN ST
12632000,1331 EWEN AVE
1004000,715 ROYAL AVE
15411000,2017 SEVENTH AVE
4106000,420 RICHMOND ST
7905000,1601 HAMILTON ST
2836000,454 KELLY ST
2870000,426 FADER ST
12440041,143 SUZUKI ST
12700557,186 PIER PL
9443000,1108 EDINBURGH ST
3140000,517 GARRETT ST
13949000,225 EWEN AVE
6216000,305 NINTH ST
14195000,4 FRONT ST
5753000,808 THIRD AVE
8295000,1625 FIFTH AVE
13382000,323 LAWRENCE ST
3839000,348 SIMPSON ST
3402000,333 ALBERTA ST
15595000,2311 DUBLIN ST
6491000,337 SECOND ST
12310004,150 VISCOUNT PL
3117000,513 FADER ST
13302000,WOOD ST
1534000,311 HOLMES ST
6715000,419 OAK ST
4279000,150 HARVEY ST
12440093,SOUTH DYKE RD
7702000,1721 SIXTH AVE
9301000,805 HENLEY ST
15330000,2302 SEVENTH AVE
10134000,811 LONDON ST
10009000,931 TWENTIETH ST
10036001,919 TWENTIETH ST
6467000,226 FOURTH AVE
3480000,326 HOSPITAL ST
8719000,520 TENTH ST
7915000,1412 EIGHTH AVE
8926002,624 TENTH ST
8923000,634 TENTH ST
4155000,504 AMESS ST
2846002,467 FADER ST
12440030,1338 RAMA AVE
6139000,615 THIRD AVE
236001,702 COLUMBIA ST
13315501,734 BOYD ST
3186000,70 RICHMOND ST
6689000,222 FIFTH AVE
12440072,1330 DAN LEE AVE
4183000,541 GARFIELD ST
8740000,1015 FIFTH AVE
8403000,117 FIFTH AVE
15446000,2115 HAMILTON ST
11467001,236 OSBORNE AVE
4378000,408 SHILES ST
12700552,1478 SALTER ST
14600503,278 JENSEN ST
15626000,888 TWENTY-FIRST ST
9156000,1302 HAMILTON ST
9007000,1017 HAMILTON ST
4817000,905 SURREY ST
6370000,331 THIRTEENTH ST
9780000,1626 EDINBURGH ST
9029000,1110 HAMILTON ST
2878000,415 GARRETT ST
2500001,501 BRUNETTE AVE
6155000,331 SIXTH ST
6301000,301 TWELFTH ST
16249814,2226 EIGHTH AVE
8584000,522 SIXTH ST
15765000,2105 MARINE WAY
13159000,351 FENTON ST
15709000,2323 LONDON ST
6639000,118 FIFTH AVE
13180000,339 PEMBINA ST
1714000,245 FRANCIS WAY
15680000,2102 NINTH AVE
4101000,467 ELMER ST
15719004,931 LONDON PL
12551200,228 HUME ST
13001002,208 PEMBINA ST
4271001,475 CUMBERLAND ST
9575000,837 FOURTEENTH ST
13508502,314 JARDINE ST
654000,210 AGNES ST
13964005,165 FAIRWEATHER LANE
9697000,1523 EIGHTH AVE
4062000,432 BUCHANAN AVE
12935001,714 EWEN AVE
16070914,56 E COLUMBIA ST
1646000,485 GLENBROOK DR
6681000,426 SECOND ST
11305000,42 TENTH AVE
16266000,500 TWENTY-FIRST ST
2876000,419 GARRETT ST
7500000,1918 SEVENTH AVE
13917000,315 STANLEY ST
8505000,530 THIRD ST
3783000,319 NOOTKA ST
8402000,119 FIFTH AVE
4674000,323 CHURCHILL AVE
10129000,930 EIGHTH ST
729000,611 AGNES ST
235000,710 COLUMBIA ST
6204000,316 ASH ST
4678000,335 CHURCHILL AVE
15599000,855 TWENTY-THIRD ST
12700605,147 DOCKSIDE CRT
6737000,414 FOURTH ST
13500000,FENTON ST
3805000,344 ALBERTA ST
4993000,920 MASSEY ST
3498000,338 HOSPITAL ST
15304001,
5822000,309 WARREN AVE
12440080,1283 DAN LEE AVE
9323000,1023 EDINBURGH ST
10055000,1921 DUBLIN ST
397000,681 COLUMBIA ST
12746000,1135 SALTER ST
4115000,810 WINTHROP ST
6837000,906 ST. ANDREWS ST
8026000,1411 SIXTH AVE
780000,117 AGNES ST
4271000,473 CUMBERLAND ST
6786000,419 SEVENTH ST
3008000,467 ROUSSEAU ST
11465001,230 OSBORNE AVE
8526000,309 FIFTH AVE
659000,209 CARNARVON ST
3821000,365 ALBERTA ST
11543000,220 BLACKMAN ST
452000,207 COLUMBIA ST
3214000,92 RICHMOND ST
4247000,468 FISHER ST
4854000,501 RICHMOND ST
8835000,519 FOURTEENTH ST
9065000,NANAIMO ST
13964035,188 STAR CRES
6015000,317 SECOND ST
9917000,1727 EIGHTH AVE
5157000,827 YORK ST
6676000,213 ST. PATRICK ST
10547000,121 PRINCESS ST
10908000,700 SIXTH ST
5171000,822 WILLIAM ST
9747000,1520 LONDON ST
13231004,344 PEMBINA ST
615000,55 EIGHTH ST
6170000,308 FIFTH ST
4909000,609 ALLISON PL
5801000,616 THIRD AVE
11360000,129 EIGHTH AVE
372000,628 CARNARVON ST
10718000,614 SECOND ST
11702000,811 FIFTH ST
1254000,525 AGNES ST
4824000,817 SURREY ST
6117000,411 THIRD AVE
12341000,0 SPRICE ST
12700541,1412 SALTER ST
10614000,127 SEVENTH AVE
2774000,275 SHERBROOKE ST
9644000,1410 LONDON ST
9992000,1821 LONDON ST
13269000,314 BOYNE ST
8388000,526 SIXTEENTH ST
5241000,809 CHERRY ST
9402000,1108 LONDON ST
4853000,503 RICHMOND ST
11480000,223 OSBORNE AVE
13101004,313 JOHNSTON ST
6522000,323 ARBUTUS ST
8807000,520 TWELFTH ST
364000,668 CARNARVON ST
11553000,211 BLACKMAN ST
8577000,513 SEVENTH ST
5424000,215 SECOND ST
16070915,50 E COLUMBIA ST
9460000,1109 EDINBURGH ST
10153000,906 LONDON ST
5411000,106 COLLEGE CRT
4303000,716 CUMBERLAND ST
13922000,324 BLACKLEY ST
6602000,128 OAKLAND ST
258000,430 COLUMBIA ST
3268000,87 MINER ST
14504000,266 HOLLY AVE
16249818,2227 HAMILTON ST
13186502,363 PEMBINA ST
5438000,217 QUEENS AVE
10911000,716 SIXTH ST
13964011,115 FAIRWEATHER LANE
13049000,237 WOOD ST
4096000,454 ELMER ST
11194000,49 E EIGHTH AVE
12784000,211 JARDINE ST
10138000,903 LONDON ST
15662000,2006 NINTH AVE
11242000,84 COURTNEY CRES
9558000,809 FOURTEENTH ST
9414000,1115 LONDON ST
8913000,1026 NANAIMO ST
11601000,305 BLACKMAN ST
12440082,1299 DAN LEE AVE
11857000,830 SIXTH ST
12518000,237 DAWE ST
6305000,325 TWELFTH ST
16110903,362 BRUNETTE AVE
12365003,127 JARDINE ST
3871001,302 RICHMOND ST
15747000,2011 NINTH AVE
13964043,159 FOUNDRY ROW
15803000,502 TWENTIETH ST
6100000,331 FIFTH ST
6979000,425 TWELFTH ST
12959000,216 WOOD ST
8147000,1530 SIXTH AVE
8902000,1027 SIXTH AVE
9317000,1022 EDINBURGH ST
4985000,120 E TENTH AVE
13964003,175 FAIRWEATHER LANE
4282000,144 HARVEY ST
12440055,1339 RAMA AVE
12489049,1238 ECKERT AVE
7824000,1910 EIGHTH AVE
1270000,550 ROYAL AVE
10149000,914 LONDON ST
7520000,521 TWENTIETH ST
5820000,316 THIRD AVE
833002,212 QUEENS AVE
9314000,1012 EDINBURGH ST
8412000,510 FIRST ST
4795000,832 SURREY ST
11454000,203 EIGHTH AVE
12878000,238 LAWRENCE ST
10512000,618 COLBORNE ST
9458000,1115 EDINBURGH ST
9423000,1110 TENTH AVE
2982000,425 ROUSSEAU ST
10674000,309 DURHAM ST
12489027,250 GIFFORD ST
4127000,532 RICHMOND ST
12410033,1187 SPARKS CRT
12440058,1323 RAMA AVE
1432000,513 LIVERPOOL ST
5002000,115 RICKMAN PL
6053000,315 PINE ST
9968000,1811 DUBLIN ST
12700527,1407 SOUTH DYKE RD
4221000,131 CARROLL ST
10685000,213 DURHAM ST
13266000,308 BOYNE ST
5209000,318 CHURCHILL AVE
7815000,1916 EIGHTH AVE
13939000,312 MERCER ST
5203000,825 CHESTNUT ST
8545000,408 SIXTH AVE
4489502,227 E SIXTH AVE
15506000,2024 EDINBURGH ST
4370000,314 ARCHER ST
12973000,644 EWEN AVE
3925000,336 RICHMOND ST
14600632,215 SALTER ST
13384000,317 LAWRENCE ST
3718000,473 E EIGHTH AVE
41000,1045 QUAYSIDE DR
1021000,720 GLOUCESTER ST
12700511,183 PHILLIPS ST
8739000,1017 FIFTH AVE
3303000,112 DEBECK ST
10931000,610 HAMILTON ST
13274000,324 BOYNE ST
15541000,2144 DUBLIN ST
8794000,1106 SIXTH AVE
3017000,447 ROUSSEAU ST
5437000,216 ANTHONY CRT
2927000,427 WILSON ST
10000000,1810 TENTH AVE
15612000,2223 DUBLIN ST
5054000,820 YORK ST
3411000,315 ALBERTA ST
10237000,802 EIGHTH ST
15460000,2201 HAMILTON ST
11576000,312 NINTH AVE
2602501,180 E COLUMBIA ST
12770000,224 HAMPTON ST
10104000,1915 EIGHTH AVE
6369000,329 THIRTEENTH ST
3768000,551 E COLUMBIA ST
14600509,256 JENSEN ST
230000,728 COLUMBIA ST
14600530,239 JENSEN ST
6907000,1205 FOURTH AVE
5523000,221 NINTH ST
15394000,2018 HAMILTON ST
9408001,909 TWELFTH ST
6265000,1020 CORNWALL ST
6961000,425 THIRTEENTH ST
16200972,1600 STEWARDSON WAY
5417000,109 QUEENS AVE
15625000,2106 LONDON ST
3143000,511 GARRETT ST
10083000,1933 EDINBURGH ST
3772000,557 E COLUMBIA ST
7732000,1719 NANAIMO ST
14600559,210 BROOKES ST
9743000,1502 LONDON ST
6429000,822 KENNEDY ST
13972002,295 CAMATA ST
14533000,227 HOLLY AVE
10859000,611 FIFTH ST
6313000,310 ELEVENTH ST
6953000,438 TWELFTH ST
12489048,1232 ECKERT AVE
6852000,402 TENTH ST
4207000,110 CARROLL ST
3382000,333 STRAND AVE
10222000,914 EDINBURGH ST
6774000,614 BENT CRT
13359300,803 EWEN AVE
6475502,325 THIRD ST
4592000,358 E EIGHTH AVE
12700596,188 DOCKSIDE CRT
11573000,320 NINTH AVE
13050000,243 WOOD ST
434001,307 COLUMBIA ST
6653000,402 SECOND ST
15440000,2110 EIGHTH AVE
8078000,520 FOURTEENTH ST
7062000,434 SIXTH ST
12700507,1336 SALTER ST
3829000,349 ALBERTA ST
4614000,926 CHILLIWACK ST
1695000,56 EDDIE DR
12440053,1369 RAMA AVE
2935000,409 WILSON ST
6225000,314 NINTH ST
12871001,235 LAWRENCE ST
3175000,77 JAMIESON CRT
70000,12 K DE K CRT
12523000,223 DAWE ST
3750000,310 HOULT ST
11377100,815 SECOND ST
9580502,834A THIRTEENTH ST
5220000,824 CHESTNUT ST
12700540,175 PHILLIPS ST
10513000,620 COLBORNE ST
9171000,724 THIRTEENTH ST
9582000,916 THIRTEENTH ST
6925000,1401 FOURTH AVE
1680000,490 CUMBERLAND ST
3389000,310 ALBERTA ST
4747000,826 CHILLIWACK ST
12497003,1279 SALTER ST
11575000,314 NINTH AVE
1426200,498 ST. GEORGE ST
8481000,216 SIXTH AVE
1360000,114 PARK ROW
5035000,826 JACKSON CRES
10051000,1907 DUBLIN ST
9519000,1207 LONDON ST
7761000,710 EIGHTEENTH ST
365000,637 CLARKSON ST
7648000,1802 SEVENTH AVE
6142000,607 THIRD AVE
13964010,119 FAIRWEATHER LANE
13098003,333 JOHNSTON ST
10852000,623 FIFTH ST
11551000,207 BLACKMAN ST
13972220,310 SALTER ST
12683006,211 PHILLIPS ST
4943000,112 E EIGHTH AVE
4147000,519 AMESS ST
11047000,740 HAMILTON ST
12513000,1258 EWEN AVE
4494005,137 E SEVENTH AVE
8770001,505 ELEVENTH ST
8239000,1412 FIFTH AVE
8941000,1034 SEVENTH AVE
7718000,1702 SEVENTH AVE
10760000,228 SEVENTH AVE
4634000,316 E TENTH AVE
11562000,222 TENTH AVE
10738000,233 SIXTH AVE
1675000,470 CUMBERLAND ST
13079001,249 PEMBINA ST
12497007,220 SUZUKI ST
4031000,351 SHERBROOKE ST
10550000,605 SECOND ST
5870000,106 THIRD AVE
9767000,1518 TENTH AVE
5838000,224 THIRD AVE
6698000,315 FOURTH AVE
3724000,520 MCDONALD ST
3852000,377 SIMPSON ST
6096000,317 FIFTH ST
7764000,1839 SEVENTH AVE
13011001,231 BOYNE ST
6191000,316 SEVENTH ST
6018000,320 ARBUTUS ST
2853000,453 FADER ST
8058000,1404 SEVENTH AVE
14514000,220 HOLLY AVE
4775000,837 BURNABY ST
9624000,1406 TENTH AVE
5863000,202 THIRD AVE
13985000,400 EWEN AVE
7810000,730 BOWLER ST
9997000,1839 LONDON ST
2859000,402 FADER ST
8446000,215 FIFTH AVE
8912000,1022 NANAIMO ST
11406000,109 SINCLAIR AVE
2810000,414 KELLY ST
15719003,935 LONDON PL
2949000,468 GARRETT ST
10518000,46 SEVENTH AVE
5746000,227 NINTH ST
5291000,824 BURNABY ST
11858000,701 EIGHTH AVE
12582000,351 GIFFORD ST
8515000,515 FOURTH ST
2997000,450 WILSON ST
5166000,211 E EIGHTH AVE
8588000,538 SIXTH ST
14020000,SOUTH DYKE RD
6025000,316 SECOND ST
7976000,1517 HAMILTON ST
15591000,2306 LONDON ST
11592000,326 BLACKMAN ST
6472000,328 OLIVER ST
9122000,1209 SEVENTH AVE
4437000,717 CUMBERLAND ST
7620000,1830 RIVER DR
15387000,2117 SEVENTH AVE
646000,311 CARNARVON ST
9447000,1120 EDINBURGH ST
13232100,328 PEMBINA ST
2902000,465 GARRETT ST
12700588,148 DOCKSIDE CRT
11752000,915 SIXTH ST
5225000,838 CHESTNUT ST
8382000,1616 SIXTH AVE
15720000,2311 NINTH AVE
3920000,324 RICHMOND ST
10137000,901 LONDON ST
6150000,330 SIXTH ST
5071000,906 MASSEY ST
10524000,621 FIRST ST
4590000,354 E EIGHTH AVE
10669000,711 FOURTH ST
16200943,1824 SIXTH AVE
3470000,321 HOSPITAL ST
2976000,422 WILSON ST
8479000,224 SIXTH AVE
12440045,181 SUZUKI ST
5860000,230 SECOND ST
4736000,821 SCOTT ST
5237000,821 CHERRY ST
11178000,74 MOTT CRES
10651000,706 SECOND ST
4028000,361 SHERBROOKE ST
6969000,1209 CAMERON ST
14547000,260 FURNESS ST
8847000,540 THIRTEENTH ST
3715000,465 E EIGHTH AVE
12925000,218 CAMPBELL ST
3638000,307 CEDAR ST
6794000,413 ASH ST
3338000,309 CUMBERLAND ST
3318000,117 SAPPER ST
10705000,308 EIGHTH AVE
7037000,430 SEVENTH ST
6640000,437 SECOND ST
10363000,MCBRIDE BLVD
8905000,1021 SIXTH AVE
4339000,436 ALBERTA ST
9076000,1101 NANAIMO ST
13182503,347 PEMBINA ST
7536000,1916 SIXTH AVE
8287000,4 LAGUNA CRT
5453000,315 LIVERPOOL ST
16200911,630 TWENTIETH ST
13317002,306 MCGILLIVRAY PL
4555000,423 SCHOOL ST
9625000,1404 TENTH AVE
10767000,304 SEVENTH AVE
8066000,521 SHARPE ST
6475501,327 THIRD ST
5156000,831 YORK ST
5700000,221 ELEVENTH ST
9321000,1029 EDINBURGH ST
15324000,2338 TRAPP RD
16200954,1802 FIFTH AVE
6669000,228 ST. PATRICK ST
13915000,339 EWEN AVE
1047000,125 EIGHTH ST
1686000,61 EDDIE DR
2945000,456 GARRETT ST
4256000,116 HARVEY ST
2210000,11 BRAID ST
11112000,45 CLUTE ST
12955000,204 WOOD ST
15573000,2229 EDINBURGH ST
1977000,653 E COLUMBIA ST
