CATEGORY,ADDRESS,NAME,OBJECTID,ID,DESC2,BLDG_ID,PHOTO,AGE,COMPLETED,ARCHITECT,DEVELOPER,SOS,x,y
Facades,660 Columbia St,Holbrook Block Facade/Windjammer Hotel,17,HERP0026,"The Holbrook Block is a three-storey masonry hotel, with arched window hoods and a projecting cornice. It is located on the south side of Columbia Street, the main commercial street in New Westminster’s historic downtown core. Subject to an HRA, the front elevation was retained maximizing the retention of the existing character-defining elements. Work included the restoration of the appearance of the original storefront and reconstruction of a new building behind the facade. ",11667,HERP0026,1899,20040419,"Grant, George William","Bain, David",HERP0026,-122.909170527261,49.2023145870547
Facades,811 Columbia St,"The Mc and Mc Facade/McLennan, McFeely and Prior Bldg",18,HERP0191,"TThe McLennan, McFeely and Prior Building, known locally as the Mc & Mc, consists of the façade of the original three-storey building. Incorporated into a large-scale commercial and residential development in 2012, the façade retains its Streamline Moderne design and was restored to its original colour (white) with replicated black tiles at the base, and has had fabric awnings reinstated at the ground floor level over the four large original display windows.  ",11669,HERP0191,1939,20040419,McCarter and Nairne,,HERP0191,-122.912429657817,49.2009183344896
Institutional,65 Richmond St,Old Gaol Block,19,HERP0013,"The doors of the first gaol opened to 12 inmates who, along with the newly appointed warden, Arthur McBride, arrived from Victoria on the steamship ""Enterprise"". Upon arrival, the prisoners were provided with a change of clothing, given their meal and locked in their cells in the new building. This unceremonious action marked the beginning of one of Canada's major penal institutions. It had a mansard roof and was constructed of heavy stone. ",1110,HERP0013,1874,19970526,Federal Departments of Justice & Public Works,,HERP0013,-122.896920821734,49.2180752957475
Institutional,231-261 Twelfth St,New Westminster Gas Company,20,HERP0016,"This modest Victorian Italianate one-storey industrial building of red brick construction is the city's oldest remaining industrial building , the oldest brick structure, and one of only three early gas works buildings left in the province. These works supplied the city's first gas streetlights. The construction of a technologically advanced coal gasification plant - the first civic gas works constructed in the province - required the importation of American expertise.",2973,HERP0016,1886,19970526,,,HERP0016,-122.923926242525,49.2031415716209
Institutional,12 E Royal Ave,Woodlands Nurses Lodge,21,HERP0018,"The Nurses' Lodge shows the basic form of the Craftsman style, with eclectic design elements. The two storey building is clad with shingles and clapboard, and has a low pitched gabled roofline. It also has exposed beam ends beneath overhanging eaves, bracketed cornices, paired porch posts and multi-pane double hung windows. The false half -timbering, two storey bays, and symmetrical proportions reveal secondary influences from the Tudor, Victorian, and Colonial Revival styles. ",595,HERP0018,1920,20080714,"Whittaker, Henry",,HERP0018,-122.898299249269,49.2119709700485
Institutional,245 Francis Way,Glenbrook Amenity Bldg/Carpenters' Shop,22,HERP0022,The Carpenters’ Shop was initially for use as a staff workshop and stable for horses used by the Woodlands Fire Crew. The Carpenters’ Shop is completely retained and restored to facilitate amenity space. ,8732,HERP0022,1902,20080714,,,HERP0022,-122.897744476883,49.2150828485887
Institutional,319 Governors Crt,The Gatehouse,23,HERP0023,The Gatehouse with its twin towers was built to resemble  a fortress-like castle.  This building was preserved in the redevelopment of the B. C. Penitentiary lands for commercial use.,1111,HERP0023,1924,19970526,,,HERP0023,-122.894586572169,49.2181878789499
Institutional,508 Agnes St,Masonic Hall,24,HERP0027,"An example illustrating the influence of the Classical Revival that became popular during the Edwardian era. Overt classical references are prominent in this highly decorative structure. The elaborate entry features double doors with transom window above, an entablature with the words 'Freemason's Hall' and a pediment with the Masonic symbol over the entrance. Subject to an HRA, the front facade was retained with a new building behind.",426,HERP0027,1911,20040419,Gardiner and Mercer,Snider and Brethor,HERP0027,-122.908804806781,49.2051185833767
Institutional,317 Carnarvon St,St Andrew's Hall,25,HERP0031,"The Hall was originally St. Andrew’s Presbyterian Church and was the first Presbyterian Church on the BC mainland. This traditional wooden gothic church is one-storey plus lower level, wood-frame Carpenter Gothic, clad in board-and-batten siding with a central square front tower. In 1898, the church was spared from the 'Great Fire'. Holy Trinity Cathedral, St. Pauls Church and the Baptist Church were all destroyed, therefore all three held services at St. Andrew's. ",191,HERP0031,1863,19970526,Wright and Sanders,"Manson, A H",HERP0031,-122.905555928742,49.2062268916568
Institutional,630 Carnarvon St,Fisheries Building,26,HERP0034,This building is constructed from pressed brick and stone and has two storeys and a basement. Its architectural style is Late Victorian Utilitarian and features a hip roof and exterior facade of red brick with masonry detail. Its hip roof and red brick maintains the dominant character of the street. This building was formerly occupied by the Fisheries and Indian Affairs Department offices. ,80,HERP0034,1905,19970526,Federal Department of Public Works,,HERP0034,-122.909637040726,49.2034978349652
Institutional,401 Columbia St,Guichon Block,27,HERP0036,"The building was originally known as the Queen's Hotel and was designed in the Victorian Italianate style. It is a three-story, brick, stone and frame structure later covered with stucco. Its original cornice has been removed and the street level facade covered. The block is structurally sound but needs upgrading. It was one of two buildings to survive the 1898 fire. ",100,HERP0036,1887,20040419,"Grant, George William & McCarter and Nairne","Turnbull, William & Beckett and Co",HERP0036,-122.905706062953,49.2046595838994
Institutional,411 Columbia St,Burr Block/Columbia Stn Inn/Met Hotel,28,HERP0037,"The Victorian Romanesque style Block survived the 1898 fire and marks the edge of the destruction in the Downtown. The Block is brick and frame construction with four storeys and a basement. Its design features a red brick exterior with terra cotta trim, arched windows, pilasters and an ornamental balustrade. The interior features an atrium with a skylight which extends down three floors to the second floor. ",99,HERP0037,1892,20040419,"Grant, George William","Hemborough, Thomas & Archibald Brothers",HERP0037,-122.905917786414,49.2045428176773
Institutional,441 Columbia St,Evans B Dean Block,29,HERP0038,"Used as office and retail space and as facilities for the Westminster Club. It is built of brick and timber with two storeys and a basement, the architecture was originally Edwardian Classical style but the exterior facade has been recently stuccoed. The Block was owned originally by Evans B. Dean who was in real estate. The building is now used as a restaurant, nightclub, and offices. ",97,HERP0038,1908,20040419,"Sait, Edwin George William","Common, J",HERP0038,-122.906638180823,49.2042667967988
Institutional,502 Columbia St,Army & Navy Department Store,30,HERP0039,"The structure was designed in the International style. It is constructed of heavy timber and has four storeys. The exterior design features black tile and a canopy with metallic trim at street level, with the upper facade covered in white paneling. The store contained the first moving, motorized stair installed in the Fraser Valley area.",55,HERP0039,1948,20040419,"Van Norman, Charles Burwell Kerrens","McDougall, A C and Sons",HERP0039,-122.906468876919,49.2036167494857
Institutional,511 Columbia St,Bank of Montreal,31,HERP0040,"The building was constructed from concrete with one storey plus mezzanine and basement. The design is of the International style. The exterior facade features concrete block with sculptured murals. The building was formerly a bank and was also the site of the greatest bank robbery of early North American history which took place in 1911. More than $250,000 was stolen from the vaults. ",96,HERP0040,1947,20040419,"Sharp, Thompson, Berwick and Pratt",Armstrong and Monteith Ltd,HERP0040,-122.907007533794,49.2040489587671
Institutional,513-523 Columbia St,Gifford Block(Hall-Lavery Block),32,HERP0041,"The Gifford Block, originally known as the Hall­ Lavery Block,  is a concrete structure with two storeys. Its architectural style is Edwardian Classical and the upper facade still features window details of tan brick and stone. The remaining upper facade has been stuccoed and painted and the lower facade covered in blue and black tile.",95,HERP0041,1909,20040419,,,HERP0041,-122.907112899918,49.2039096164186
Institutional,530 Columbia St,Burr Theatre/Columbia Cinemas,33,HERP0042,"The Burr Block survived the 1898 fire and marks the edge of the destruction in the Downtown. The Victorian Romanesque style Block is brick and frame construction with four storeys and a basement. Its design features a red brick exterior with terra cotta trim, arched windows, pilasters and an ornamental balustrade. The interior features an atrium with a skylight which extends down three floors to the second floor. ",53,HERP0042,1927,20040419,Townley and Matheson,"Hodgson, King and Marble",HERP0042,-122.906858325856,49.2033179704809
Institutional,544 Columbia St,Canadian Imperial Bank of Commerce,34,HERP0043,"The building is constructed of brick and stone and has three storeys and a basement. With its pilasters, fluted columns, ornamental entablature, and other lavish detail, this building provides an excellent example of the Beaux Arts Classical style of architecture. This former bank's architecture dominates the character of the area and its facade is very well-preserved. ",52,HERP0043,1911,20040419,Darling and Pearson,"Cawston, W H",HERP0043,-122.907135575413,49.203255226622
Institutional,548 Columbia St,Ellis Block,35,HERP0044,"The Victorian Italinnate style Block is constructed of brick and concrete with two storeys plus basement. Originally, the exterior facade featured three 'bay windows' facing Columbia Street but these have been removed, along with other details. The exterior now features tan pressed brick moldings and entablature with black tile covering the Columbia Street level facade. ",49,HERP0044,1899,20040419,"Tiarks, John Gerhard & Rattenbury, Francis Mawson","Coughlin, J and Company",HERP0044,-122.907360541456,49.20316320545
Institutional,549 Columbia St,Federal Bld/Post Office/Police Bldg/C-to-C,36,HERP0045,"The Federal Government Building was built in the International style. It is constructed with reinforced concrete and has a granite exterior facade with multi-paned windows at street level. Historically, this site has had a government use since 1859. It has been the location of the customs house, mint, assay office, library, Federal Government offices, and now as the NW Police station. ",94,HERP0045,1939,20040419,"Gardiner, Edwin Alexander",,HERP0045,-122.907645462581,49.2037031515945
Institutional,600 Columbia St,Dominion Trust Block,37,HERP0046,"The  Edwardian Classical construction is brick and frame with six storeys and a basement. The exterior facade is stone and brick and the street level facade has been covered with paneling. The upper facade maintains the character of the street with its texture, materials, scale and fenestration. The Block was originally occupied by the Dominion Hotel. It was later Spencer's Department Store, and then Zeller's Department Stores. ",48,HERP0046,1907,20040419,"Griffith, Henry Sandham","McFarlane, George",HERP0046,-122.907707738602,49.2028576431883
Institutional,601 Columbia St,Ellard Block,38,HERP0047,"It is Victorian Italianate two storey frame, stone and brick structure that was altered with tiles on the front facade about 30 years ago. Parts of the original ornamental cornice and arched windows were retained on the west facade, but the architectural integrity of the building was greatly damaged. In 1989, the building was extensively renovated and most of the previous alterations were removed. ",85,HERP0047,1899,20040419,"Clow, Charles Henry & Welsh, Daniel","Buckland, Robert",HERP0047,-122.908216549177,49.2033078136352
Institutional,607 Columbia St,Coulthard-Sutherland Block,39,HERP0048,"The Coulthard-Sutherland Block is a two-storey building with a concrete facade and ribbon windows. It is locatedon the north side of Columbia Street, the main commercial street in New Westminster's historic downtown core. The original terra cotta facade, with its columns, parapet and arched windows, was removed as part of a later modernization, but the form and scale relate to the original construction.",86,HERP0048,1913,20040419,"Griffith, Henry Sandham & Gardiner and Mercer",Nicholson and Cummings,HERP0048,-122.908324331859,49.2032516786091
Institutional,612 Columbia St,Cunningham Block,40,HERP0049,TheVictorian Italianate style Block is constructed with brick and concrete and has two storeys plus two basements. Its exterior facade features an ornamental cornice and pilasters which add a vertical element and divide the Block into three distinct storefronts. The street level facade has been covered with siding but the upper part remains intact and well-preserved. The Block was first owned by James Cunningham of the Cunningham Hardware Company.,46,HERP0049,1899,20040419,"Grant, George William",,HERP0049,-122.908003402648,49.2028106537305
Institutional,642 Columbia St,Dupont Block,41,HERP0052,"The Victorian Italianate construction is concrete, brick, and stone with three storeys and a basement. The exterior design features a corner facade and arched windows. The side and rear facades feature an ornamental cornice and half-moon windows. Some of the original detail can be seen in the upper, side and rear facades. ",43,HERP0052,1899,20040419,"Grant, George William",,HERP0052,-122.908694490539,49.2023546905832
Institutional,652 Columbia St,Edison Block/Paramount Theatre,42,HERP0053,"The Paramount Theatre is a modest motion picture theatre building with prominent marquee and neon Paramount signage. Built on the steep slope of the south side of Columbia Street, it has a two storey form on the front facade, with three storeys at the rear. The theatre was highly significant to the community, as movies were a main form of public entertainment. Despite its closure as a movie theatre, the Paramount continues to be used for entertainment purposes.",42,HERP0053,1899,20040419,"Grant, George William",,HERP0053,-122.908812211062,49.2022580840924
Institutional,659 Columbia St,Curtis Block,43,HERP0054,"The architectural style was originally Victorian Italianate and, although the front has been altered and covered in stucco, the rear facade reveals the Romanesque details, such as the ornamental cornice and arched doorway. The structure is brick and concrete with two storeys and is used as retail space. The Block was built for D. S. Curtis, druggist, and was used as offices, shops, and the Knights of Pythias Hall. ",90,HERP0054,1899,20040419,"Grant, George William","Burns, Ekerton",HERP0054,-122.909569027496,49.2026837070806
Institutional,665 Columbia St,Benjamin Young Block,44,HERP0055,"The Victorian Italianate architecture features an upper facade with details including ornamental cornice and entablature, and arched windows. The Block is concrete and frame construction with two storeys plus basement. In 1911, a rear addition was built to house a vaudeville theatre (the Royal Theatre). ",92,HERP0055,1899,20040419,"Grant, George William & Gardiner and Mercer","Hudson, James and Company",HERP0055,-122.909677235596,49.2026275711196
Institutional,671 Columbia St,James Armstrong Block,45,HERP0056,"The Armstrong Block is a two-storey commercial building, with arched windows and a flat overhanging awning, located on the north side of Columbia Street, the main commercial street in New Westminster's historic downtown core.",91,HERP0056,1899,20040419,"Grant, George William","Burns, Ekerton",HERP0056,-122.909744747389,49.2025399197103
Institutional,701 Columbia St,Hart Block,46,HERP0057,"The Masonic Block is a Romanesque Revival-style structure with a chamfered corner entrance, clad in brick and rusticated stone. Built on a steeply sloping site, it has three storeys on the front facade and two storeys at the rear. It is located on the north side of Columbia Street, at the corner of Lorne Street with a rear frontage on Clarkson Street, in New Westminster's historic downtown core. ",74,HERP0057,1899,20040419,"Grant, George William & Gardiner, Frank G",,HERP0057,-122.910233279545,49.2023513990984
Institutional,705 Columbia St,Adams Block,47,HERP0058,"The Oddfellows Hall and Masonic Block were on these sites in 1892 and rebuilt after the 1898 fire. The two blocks are consolidated on the second floor. The Adams Block is a Victorian Romanesque style building, constructed of brick and stone with two storeys. The original street level facade has been covered at Columbia but the upper and rear facades sport decorative cornices and arched windows. ",75,HERP0058,1899,20040419,"Grant, George William",,HERP0058,-122.910326062947,49.2022840064112
Institutional,709 Columbia St,Westminster Trust Blk/Westminster Club,48,HERP0059,This building was the City's first skyscraper. Its towering eight storeys were built on a steel frame. The Westminster Trust Building provides an excellent example of Beaux Arts Classical architecture. The exterior features red brick with white terra cotta trim. The interior has granite floors and a lightwell. The corner site and the building's height contribute to its dominance in the Precinct. The Westminster Club was located on the top floor of this well­preserved building. ,73,HERP0059,1911,20040419,Gardiner and Mercer,Sound Construction and Engineering Company,HERP0059,-122.910479360974,49.202200918789
Institutional,710 Columbia St,Bryson Block,49,HERP0060,"This building has been used as a hardware store and warehouse, a tobacco processing plant and a shoe factory. There have been extensive renovations and additions since the original construction. In 1905, two storeys for a hardware store were added to the Columbia Street block and renamed the Bryson Block after the new occupant. In 1911, a four storey addition was added as a warehouse for 'implements'. The rear portion was converted for use as a warehouse for locally-grown tobacco in 1932. ",35,HERP0060,1899,20040419,"Blackmore, Edward Evans & Gardiner and Mercer",Sloan and Harrison,HERP0060,-122.909700466003,49.2018854769211
Institutional,716 Columbia St,Occidental Hotel Block,50,HERP0061,"The Rob Roy Meats building was occupied by the Occidental Hotel. The structure is brick and concrete with four storeys plus basement. The Beaux Arts Classical architecture features a red brick exterior with terra cotta ornamental detail. The street level facade has been altered; however the upper storeys still retain some distinct architectural details. In 1987, the building was renovated and repaired because of fire and water damage. ",33,HERP0061,1899,20040419,Gardiner and Mercer,Miller and Jewhurst,HERP0061,-122.909866633342,49.2018024001668
Institutional,728 Columbia St,Bank of Nova Scotia,51,HERP0062,"This bank building is a concrete and brick structure with one storey plus mezzanine and basement. The International style architecture features high ceilings in the interior and details such as fluted columns, molded medallions, murals, entablature, and multi-paned windows on the exterior. A 1958 renovation doubled the floor space and it was renovated again in 1983. ",32,HERP0062,1938,20040419,"Brown, Murray","Ward, A and Son",HERP0062,-122.909865353628,49.201680962589
Institutional,774 Columbia St,BC Electric Railway Building,52,HERP0063,"The BC Electric Railway Block is one of the City’s most important historic buildings from the point of view of its architecture, the history of the City and the significance of its architect, Samuel Maclure.  Originally used as a tram station, it represents the development of commuter transportation and the City's first rail connection to Vancouver. Subject to an HRA, the building's exterior was rehabilitated to reflect the original 1911 appearance with a portion of the east and rear elevations retaining the 1950s appearance as stucco removal was not possible.",24,HERP0063,1910,19970526,Maclure and Fox,Martin and Broley,HERP0063,-122.910794341502,49.2011891909877
Institutional,800 Columbia St,Canadian Pacific Railway Station,53,HERP0064,"The Canadian Pacific Railway (CPR) Station is a late Victorian two-storey asymmetrical red brick and sandstone clad building with steeply-pitched hipped bellcast roofs. It is situated on a corner lot adjacent to the former BCER (B.C. Electric Railway) Station, on the south side of Columbia Street, the main commercial street in New Westminster's historic downtown core. It is a landmark structure that is visible on all sides and marks the western point of entry to the downtown area.",8715,HERP0064,1899,20040419,"Gardiner and Mercer & Maxwell, Edward",,HERP0064,-122.911605383029,49.2007962700113
Institutional,601 Eighth Ave,Loyal Protestant School for Children,54,HERP0070,"Officially opened as a refuge for orphaned and neglected  children, this Tudor Revival structure features a large side gabled roof punctuated by small hipped dormers, and front cross gables. The front gables have false half-timbering, and slant bay windows, while the main entrance has a Tudor arch accentuated by molded archivolts. This building is an excellent example of sophisticated British Arts and Crafts architecture adapted for institutional purposes.",6980,HERP0070,1925,19970526,"Evans, George Norris & Evans, Enoch",,HERP0070,-122.925263958933,49.2161631261517
Institutional,55 Eighth St,Oddfellows' Block,55,HERP0071,The Edwardian Classical style architecture is a two storey structure constructed of concrete and features a rusticated concrete block exterior typical of the Classical Revival styles at the turn of the century. The exterior facade also features decorative window moldings and pilasters which add a vertical element to tie the upper floor to the lower floor where the original street level facade has been altered. This building was originally used as a meeting hall for the Oddfellows. ,172,HERP0071,1909,20040419,"Clow, Charles Henry","Carter, Smith and Buckland",HERP0071,-122.912501283177,49.2023846230315
Institutional,600 Eighth St,Moody Park Community Building,56,HERP0072,"The Club House is a one and one-half storey wood-frame Arts and Crafts style building, distinguished by its broad, steep, dual-pitched hipped roof. It is located amidst a landscaped design of mature plantings. Since 1971, the building has been used as head office for the New Westminster Parks and Recreation Department.",8813,HERP0072,1938,20080714,Twizell and Twizell,,HERP0072,-122.925966223325,49.211719181989
Institutional,535 Front St,Malins Block,57,HERP0080,"The Malins Block is a brick, two storey structure is Edwardian Classical in appearance, featuring brick work on the front facade, notably the band of inset herringbone pattern above the second storey fenestration. The building is in fair condition and is used as a cabaret and retail space.",51,HERP0080,1911,20040419,"Gardiner, Mercer and Gardiner",,HERP0080,-122.90696252689,49.2031134113871
Institutional,553 Front St,"Ellis Block, Front Street",58,HERP0081,"Built on a steeply sloping corner lot, the Ellis Block, Front Street, is a two-storey masonry late Victorian-eracommercial building, with principal facades on both Front and Sixth Streets in New Westminster's historicdowntown core.",50,HERP0081,1899,20040419,"Tiarks, John Gerhard & Rattenbury, Francis Mawson",,HERP0081,-122.907196934681,49.2030191493113
Institutional,611 Front St,Chess Block,59,HERP0082,"Built on a sloping site, the building is two storeys high on the front and four storeys at the rear. It has a boxy form, flat roof and cubic massing, lower scale facing Columbia St and larger scale facing Front St. Elements at the rear include cast iron columns with maple leaf ornamentation; wooden sections with metal bulkhead grilles; and sheet metal cornices. It’s fenestrations include rectangular openings; and second floor front facade wooden-sash casement windows.",47,HERP0082,1899,20040419,,,HERP0082,-122.907827993398,49.2026688379011
Institutional,530-580 Queens Ave,The Armories,60,HERP0094,"This is a very good example of a late 19th century armoury. It incorporates details, motifs, elements and shapes that are typical for this time period in west coast buildings. Its exterior exhibits Italianate, Romanesque revival influences. It is unique because armouries at this date were normally composed of brick and it is constructed entirely of wood. ",316,HERP0094,1895,20080714,,,HERP0094,-122.912041357428,49.2071292930612
Institutional,28 Sixth St,Cliff Block,61,HERP0119,"The Cliff Building is a four-storey plus lower level Edwardian-era masonry commerical structure located on a steeply sloped site at the corner of Sixth and Clarkson Streets. Exteror features include smooth dressed sandstone foundation with exterior cladding of pressed tan brick, Classical Revival influence, as demonstrated in: the tripartite facade articulation; vertical brick pilasters with a solid base, shaft and detailed capital; and intermediate cornices with dentils above the storefronts.",84,HERP0119,1910,20040419,"Griffith, Henry Sandham","Van der Voort, M D",HERP0119,-122.908436639818,49.2034159319136
Institutional,101-115 Twelfth St,Terminal Hotel,62,HERP0120,"The Terminal Hotel is a two-storey concrete Streamline Moderne hotel, identifiable for its asymmetrical composition of straight and curved forms, irregular massing and flat roof. A local landmark, the Terminal is located at the intersection of Twelfth Street andStewardson Way, within a commercial and semi-industrial context adjacent to railway tracks and the elevated SkyTrain tracks.",364,HERP0120,1940,20080714,,,HERP0120,-122.921380303791,49.2008820461004
Institutional,600 First St,Queen's Park Arena,63,HERP0124,"Built at the onset of the Great Depression, the style of the structure reflects the influence of the Art Deco style, especially in the original elements of the front facade, including stepped vertical pilasters and a central sign with incised lettering. ",3118,HERP0124,1930,20080714,Gardiner and Mercer,,HERP0124,-122.905772540504,49.2148288132517
