DESCRIPTN,OBJECTID,BLDG_ID,HERITAGE,BINDER,SHAPE.area,SHAPE.len,MAPREF,UNITNUM,STRNUM,STRNAM,BLDGNAM,BLDGAGE,DEVELOPER,ARCHITECT,STRATA,M_BLDGHGT,NUM_B_GRND,NUM_A_GRND,NUM_MEZZ,SQM_SITCVR,SQM_FTPRNT,NUM_RES,SQM_B_GRND,SQM_A_GRND,SQM_RES,SQM_NRES,SQM_XRES,SQM_XNRES,SS_REGDATE,SS_CODE,SS_STATDEC,MOVED,DEMOLISH,SIGNIFICANT
"509 Agnes Street was built around 1898 but, unfortunately, much of the original exterior detail has been stuccoed over. A rusticated cement block foundation and supports, and a cement block fence, are dominant features of the house and site. The house has a medium pitch hipped roof, offset pedimented facade gable, front hipped dormer, simple paned transom over the door and open columned verandah. The eclectic style appears to fall between the Late to High Victorian period, with classical columns from the Late Victorian period added to the asymmetrical form from the High Victorian Queen Anne style.",1858,1402,Y,Sup,100.0002907,40.00005814066,1254000,,509,AGNES ST,DAVID MURCHIE HOUSE,1889,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1993,
Queen's Court is a modern office building constructed in 1982 and designed by architect George Cook of Musson Cattell. It is constructed of concrete and has four storeys and a penthouse. Its design features a strong horizontal emphasis using bands of concrete and glass to mark each floor. Its architecture is complementary to that of the Law Courts and the street landscaping also helps to link the two structures. The Land Title Office is among the occupants of the Queen's Court building.,1859,224,Y,1,2408.55890588,200.515712446109,730001,,625,AGNES ST,Queen's Court/Royal City Alternate Program,1981,SPRINGER DEVELOPMENT,MUSSON CATTELL,N,14.63,2,5,0,2424.49,2424.49,0,0,8919.99,0,8919.99,0,0,,Unknown,,0,0,School Public
"205 Agnes Street moved to 107 Agnes - The Late Victorian Italianate home at 205 Agnes Street (c. 1914),built by Barr and Son, may have been the home of William E. Fales, a successful New Westminster furniture dealer who came to British Columbia in 1876. This home contributes to the heritage character of the Prospect Park Cluster which features several Italianate style homes.",1860,8748,Y,Sup,83.84529345,36.6407726362977,778502,,107/109,AGNES ST,,1911,WILLIAM FALE,,Y,7.71,1,2,0,113.53,113.53,2,47.94,227.06,274.99,0,0,0,,Unknown,,2007,0,
"50 Albert Crescent is the 1906 home of William Garland McQuarrie. McQuarrie belonged to a leading New Westminster law firm, McQuarrie, Martin and Cassady. Included among their clients was the City of New Westminster. The house at 50 Albert Crescent has been extensively altered and much of its architectural character lost. In its original form, the house featured a Dutch colonial gambrel roof and columned open verandah, among other colonial and classical features. This house and property were part of the same apartment proposal that relocated the Collister House, however this house was demolished in the spring, 1990.",1861,11263,Y,Sup,99.99958685,39.999917370417,465001,,50,ALBERT CR,,1906,,NH MCQUARRIE,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1990,
"Built around 1912, this duplex has a rectangular plan, and features the moderately pitched hipped roof, and full­width porch with Tuscan columns characteristic of the Classic Box style.",1862,1301,Y,3,131.75095,47.1395854814249,3388000,,306,ALBERTA ST,,1912,G & L BOISSONNEAU,,N,0,1,2,0,96.62,96.62,2,96.62,193.24,289.86,0,0,0,,Unknown,,0,0,
This Craftsman building features a low pitched front gabled roof with an enclosed gabled porch supported by tapered piers. Decorative elements include exposed beam ends beneath overhanging eaves and projecting diagonal brackets.,1863,1325,Y,3,90.06045,40.1039803251803,3412000,,313,ALBERTA ST,,1927,C. X. CORMIER,,N,0,1,1,0,63.08,63.08,1,62.43,63.08,125.51,0,0,0,,Unknown,,0,0,
This 1908 house has the hipped roof with slightly flared eaves typical of the Prairie Box Style. Alterations include an enclosed front porch and basement carport. Robert Best was a guard at the provincial gaol.,1864,1324,Y,3,90.9606,39.8639352425851,3411000,,315,ALBERTA ST,ROBERT BEST HOUSE,1908,MARGH-ANN BEST,,N,0,1,2,0,72.46,72.46,1,62.43,134.9,197.33,0,0,0,,Unknown,,0,0,
"This Pioneer Tent Style house features the typical front gabled roof, and full width porch. The gable is ornamented with square butt shingles, while the remaining exterior walls are covered with clapboard siding. Archibald Skelly was a civic waterworks employee.",1865,1305,Y,3,87.2861,43.4110061911675,3392000,,316,ALBERTA ST,ARCHIBALD SKELLY HOUSE,1907,MRS. ARCHIE SKELLY,,N,7.54,1,2,0,65.4,65.4,1,65.4,119.84,185.25,0,0,0,,Unknown,,0,0,
"318 Alberta Street, built around 1907 according to water connection records, presents an interesting version of the Classic Frame style. It has a front gabled roof with skirt set on a rectangular frame. The house has weatherboard siding on the lower storey, and square butt shingles on the upper. Charles MacDonald, a farmer, was an early resident of the house.",1866,1306,Y,3,100.07215,43.8770119858261,3393000,,318,ALBERTA ST,,1907,J.A. McDONALD,,N,0,1,2,0,76.92,76.92,2,71.54,148.46,219.99,0,0,0,,Unknown,,0,0,
"Built around 1910, this house has a moderately pitched front gabled roof, shingle siding, and recessed front porch, commonly associated with the shingle style. Decorative false half timbering on the gable, overhanging eaves, and diagonal braces along the cornice found on the house are consistent with the style's emphasis on natural forms and materials. T. Rainford was a box maker at the Brunette Sawmill.",1867,1307,Y,3,103.6046,42.6091428621186,3394000,,320,ALBERTA ST,T. RAINFORD HOUSE,1912,J. BARKER,,N,0,1,1,0,132.39,71.07,2,71.07,71.07,142.14,0,0,0,19980701080000,Registered Unauthorized (Pre-1998),,0,0,
"This house features a steeply pitched, front gabled roof, and partial width porch. Alterations to the building include new synthetic siding, aluminum windows, and side shed dormers. W. I. Gore, an early resident, was a millwright.",1868,1319,Y,3,114.06915,47.6430867081812,3406000,,325,ALBERTA ST,,1907,J. HENDERSON,,N,0,1,2,0,81.75,81.75,2,81.01,143.54,224.55,0,0,0,20050601080000,Authorized (From Existing Unauthorized Suite),,0,0,
"Built in 1911 by R. Mead, this house shows design elements typical of the Shingle style. These include continuous shingle cladding, decorative stick work, extended eaves, exposed rafters, and recessed front porch. The windows are double hung with pronounced wood frames, and the upper segments are divided into smaller panes by muntins. James Hare lived in the house from 1913.",1869,1317,Y,3,136.1128,51.6636753010445,3404000,,329,ALBERTA ST,J.H. HARE HOUSE,1911,M. R. MEAD,,N,0,1,1,0,100.06,100.06,1,95.6,100.06,195.65,0,0,0,,Unknown,,0,0,
"Built around 1911, this house has the hipped roof with slightly flared eaves typical of the Prairie style. The original exterior cladding has been replaced with roughcast stucco, and the window casings replaced by aluminum. Early residents of the house include Patrick Murphy, a driver for P. Burns & Co., and Thomas J. Thomas who was a clerk in the City Clerk's office.",1870,9661,Y,3,100,40,3403000,,331,ALBERTA ST,,1911,,MR MEAD,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,2011,
"Built around 1907, this house features a moderately-pitched gabled roof, and a projecting vestibule. The vestibule reinforces the gable roofline, and uses matching weatherboard cladding.",1871,1552,Y,3,94.52825,48.6033374992736,3804000,,340,ALBERTA ST,,1907,F.W. CARTER,,N,0,1,1,0,54.35,54.35,1,54.35,54.35,108.7,0,0,0,,Unknown,,0,0,
"Built around 1912, or earlier, this house shows a typical Shingle style design. It has an A-frame shape with prominent wing-like shed dormers projecting from both sides of the roof. Decorative features include the diamond-shape window on the gable, and front windows with stain glass headers. Gordon Dalrymple, a carpenter, lived in the house in 1913.",1872,1553,Y,3,94.81805,44.4097470984002,3805000,,344,ALBERTA ST,,1912,W. DALYRMPLE,,N,0,1,2,0,64.1,64.1,1,61.5,90.49,151.99,0,0,0,,Unknown,,0,0,
"Built around 1909, the irregular roofline, bay windows, and use of patterned shingles of this house suggest Victorian influences in its design. The front gable facade, and full wrap porch are reminiscent of the Pioneer Tent style.",1873,1577,Y,3,157.58605,52.5526688472097,3830000,,347,ALBERTA ST,,1909,CHARLES W. ERICKSON,,N,0,1,2,0,106.93,106.93,1,40.41,177.44,217.86,0,0,0,,Unknown,,0,0,
This Pioneer Tent style home features a simple front gable roofline with a full-width porch. The upper storey has wooden clapboard siding; the lower storey has been altered with vinyl siding.,1874,1555,Y,3,78.2307,39.5551391788354,3807000,,348,ALBERTA ST,,1909,FERDINAND GOETEZ,,N,0,1,2,0,57.14,57.14,1,27.87,102.84,130.71,0,0,0,,Unknown,,0,0,
"352 Alberta Street was built in 1912. The house has the low pitched front gabled roof, and gabled entry porch typical of the Craftsman style. Alterations include the vinyl exterior cladding, and aluminum windows.",1875,1557,Y,3,179.0564,66.4310909186381,3809000,,352,ALBERTA ST,,1912,W. DALYRMPLE,,N,0,1,1,0,90.21,90.21,1,75.34,90.21,165.55,0,0,0,,Unknown,,0,0,
"Built in 1912, this house features a side gabled roof with a gabled dormer, exposed beams beneath overhanging eaves, and projecting brackets. Part of the porch has been enclosed, and some of the original windows have been replaced. D. Munro, who was a teamster at the Louis Williams Co., lived in this house from 1913 for over twenty years.",1876,1572,Y,3,125.955,47.9000290092251,3825000,,357,ALBERTA ST,D. MUNRO HOUSE,1912,DAVID MUNRO,,N,0,1,2,0,109.25,109.25,1,109.25,131.55,240.8,0,0,0,19980701080000,Registered Unauthorized (Pre-1998),,0,0,
"Built by J. T. Mackie, this 1912 house has a steep gabled roof, recessed front porch, and a shed dormer with a small balcony. The exterior is covered with clapboard and square butt shingle siding. J. T. Mackie, who was a millwright at the Brunette Sawmill, lived at this address from 1913 for over twenty years.",1877,1570,Y,3,151.999,53.0047637866583,3823000,,361,ALBERTA ST,J. T. MACKIE HOUSE,1912,JAMES T. MACKIE,,N,0,1,2,0,107.12,107.12,2,85.47,146.79,232.26,0,0,0,19990201080000,Registered Unauthorized (Pre-1998),20160406070000,0,0,
"This house features the simple front gabled roof of the Pioneer Tent style. Alterations to the house include the shed porch cover, aluminum screen door on the upper storey, and the porch balustrades. George Walker, a labourer, built this house in 1912.",1878,1569,Y,3,96.74335,44.7603560604258,3822000,,363,ALBERTA ST,GEORGE WALKER HOUSE,1912,GEORGE WALKER,,N,0,1,1,0,65.96,65.96,1,60.39,65.96,126.35,0,0,0,,Unknown,,0,0,
"This 1911 house is a good example of the Craftsman style. It shows front windows with ornamental header, exposed rafters, diagonal brackets, and a side gabled roof with a prominent gabled cover over the front porch. The latter is supported by battered piers on stucco covered pedestals. A. E. Carter, a brick-layer by trade, lived in this house from 1911 for over twenty years.",1879,1561,Y,3,151.8859,53.1168065504479,3814000,,370,ALBERTA ST,ALBERT CARTER HOUSE,1911,ALBERT CARTER,,N,0,1,2,0,120.77,120.77,2,118.27,183.2,301.47,0,0,0,19980701080000,Registered Unauthorized (Pre-1998),20001112080000,0,0,
"Now covered with stucco, this house features a simple gabled roof, and a full-width porch. An economical and sturdy house, the Pioneer Tent style was popular with the early settlers. Louie Codrette, an early resident of the house, was known for his ability to foretell the future.",1880,2001,Y,3,69.0193,34.8790264385014,4326000,,413,ALBERTA ST,,1921,LOUIS CADERETT,,N,6.02,1,2,0,60.85,60.85,1,60.85,87.79,148.64,0,0,0,,Unknown,,0,0,
"Built in 1914 by Mr. Mitchell, this house has the A-frame shape, dominating gabled roof, and large shed dormers characteristic of the Shingle style. The original exterior cladding has been replaced by wide clapboard siding on the gables and manufactured shingles on the first storey. F. V. Ingle, a lineman with the City of New Westminster, was a long time early resident of this house.",1881,2003,Y,3,114.17545,46.1009849475373,4328000,,417,ALBERTA ST,,1914,M. & A.G. INGLE,,N,0,1,2,0,81.85,81.85,1,81.85,115.29,197.14,0,0,0,19980701080000,Registered Unauthorized (Pre-1998),20070501080000,0,0,
"Built in 1912 by Thomas Cormack, a carpenter and employee at the 'Insane Asylum', this house shows the characteristic features of the Shingle style. It has the A-frame roof, shed dormers, full width balcony set under the main roofline, Tuscan columns, and shingle siding.",1882,2004,Y,3,97.22675,41.2232654162486,4329000,,419,ALBERTA ST,THOMAS CORMACK HOUSE,1912,THOMAS CORMACK,,N,0,1,2,0,71.63,71.63,1,71.63,109.53,181.16,0,0,0,,Unknown,,0,0,
"Built in 1913, this Pioneer Tent style house features a side gabled roof with overlapping square butt asphalt shingle siding, partially enclosed front porch with a hipped cover, and plain columns. Robert H. Black was a Teamster at the Brunette Saw Mill in Sapperton.",1883,2007,Y,3,102.1109,45.2418019149657,4332000,,425,ALBERTA ST,ROBERT BLACK HOUSE,1912,A.H. BLACK,,N,0,0,2,0,80.64,80.64,1,0,134.15,134.15,0,0,0,,Unknown,,0,0,
"427 Alberta Street was built in 1912, and has a side gabled roof. Alterations to the structure include new exterior siding, roofing, and aluminum windows. Robert Walls, an early resident of the house, was an engineer.",1884,2008,Y,3,98.4955,42.1211254219164,4333000,,427,ALBERTA ST,,1912,WILLIAM WALLACE,,N,0,1,1,0,81.75,81.75,1,81.75,81.75,163.51,0,0,0,,Unknown,,0,0,
"Built in 1907, this house has the familiar front gabled roof, wrap porch with plain square columns, and weatherboard siding. M. Elckinko, an engineer, was an early resident of the house.",1885,9556,Y,3,100,40,2704000,,214,ALLEN ST,,1907,,E ELCHIUK,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,2005,
"Built around 1907, this Pioneer Tent style house features the typical steeply pitch front gabled roof, weatherboard siding, and gabled entrance cover, common in this housing style.",1886,11710,Y,3,122.401051175,44.7351900883208,,,240,ALLEN ST,,1907,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unknown,,0,2005,
"These three cottages were built in 1892, and extensively remodeled in 1910. 316 Arbutus has a hip on gable roof line and an enclosed porch. A.G. Matthews, gun and locksmith, lived at 318 Arbutus Street and his house has a front gabled roof with full-width porch. 320 Arbutus has been altered extensively and was originally owned by Edward Fallon, labourer.",1887,3137,Y,2,100.1027,43.7487454705037,6016000,,316,ARBUTUS ST,LEDOUX HOUSE,1889,W. GRIEG,,N,0,1,2,0,65.87,65.87,1,21.74,77.95,99.68,0,0,0,,Unknown,,0,0,
"These three cottages were built in 1892, and extensively remodeled in 1910. 316 Arbutus has a hip on gable roof line and an enclosed porch. A.G. Matthews, gun and locksmith, lived at 318 Arbutus Street and his house has a front gabled roof with full-width porch. 320 Arbutus has been altered extensively and was originally owned by Edward Fallon, labourer.",1888,3138,Y,2,83.6177,40.1083986236719,6017000,,318,ARBUTUS ST,A.G. MATTHEWS HOUSE,1892,,,N,0,0,1,0,51.38,51.38,1,0,51.38,51.38,0,0,0,,Unknown,,0,0,
"These three cottages were built in 1892, and extensively remodeled in 1910. 316 Arbutus has a hip on gable roof line and an enclosed porch. A.G. Matthews, gun and locksmith, lived at 318 Arbutus Street and his house has a front gabled roof with full-width porch. 320 Arbutus has been altered extensively and was originally owned by Edward Fallon, labourer.",1889,3139,Y,2,90.52665,43.0808338789836,6018000,,320,ARBUTUS ST,EDWARD FALLON HOUSE,1892,,,N,0,1,1,0,67.35,67.35,1,37.16,67.35,104.52,0,0,0,,Unknown,,0,0,
"This Neoclassical Cottage house, built in 1938, has a hipped roof, stucco siding, and perpendicular bays. The front has imitation stone siding, and large brackets accentuate the entrance. Mr. Bartholemew, a World War I veteran, lived in the house for many years.",1890,2052,Y,3,96.08135,42.4245373202908,4381000,,226,ARCHER ST,,1938,S. GREENWOOD,,N,0,1,1,0,72.46,72.46,1,72.46,72.46,144.93,0,0,0,,Unknown,,0,0,
"This house is a good example of the Eastern Cottage style, with a characteristic chamfered roofline, small entry porch, and three part Chicago windows. The stucco exterior has been replaced by asphalt shingle siding. K. Powers, who lived in the house for many years, was an engineer.",1891,2056,Y,3,114.6962,44.9305749846547,4385000,,229,ARCHER ST,,1913,ORA T. POWERS,,N,5.65,1,2,0,104.42,104.42,1,83.33,146.51,229.84,0,0,0,,Unknown,,0,0,
Supporting Listing,1892,11274,Y,Sup,100.00106233,40.0002124654357,448000,,209,ARMSTRONG ST,,1936,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1989,
"Built by Mr. H. Gilley, with a design by E.J. Boughen, this side gabled, Colonial Revival house has a prominent front cross gable, flanked by two pairs of gable dormers. The dormer windows are round arched with decorated hood molds. The original wall cladding has been replaced with shingles and a front addition covers the first storey of the original house.",1893,2900,Y,2,196.160349,56.6029097435482,5499000,,214,ASH ST,,1885,A.W. DEAN,"GRANT, G.W.",N,0,1,2,0,136.66,136.66,1,114.36,230.31,344.67,0,0,0,,Unknown,,1912,0,
"219 Ash Street was built in 1926 and has the low pitched, front gabled roof, typical of the Craftsman style. The exterior is clad in narrow siding.",1894,7542,Y,2,99.99958685,39.999917370417,5792000,,219,ASH ST,,1926,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1994,
"221 Ash Street is almost identical to Number 219, but was built the year previous, in 1925. The gabled entry porch is more visible in this example.",1895,7543,Y,2,100.0002907,40.00005814066,5792000,,221,ASH ST,,1925,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1994,
"This style is commonly called Western Gothic, and has its roots in the Tudor Revival style. It features a steeply pitched, side gabled roof, with a front cross gable. The chimney is large and tapered, placed at the front of the house. The stuccoed exterior is decorated by false half-timbering, wood trim and ornamental window boxes.",1896,3277,Y,2,95.7172,41.1616380711953,6201000,,310,ASH ST,,1938,H. HARGREAVES,,N,8.09,1,2,0,77.02,77.02,1,77.02,145.58,222.6,0,0,0,,Unknown,,0,0,
"This 1913 house features a hipped roof with slightly flared eaves and a short hipped dormer. The entry porch is a one-storey wing-like projection, also with a hipped roof. The original exterior cladding has been replaced with stucco and wide siding.",1897,3263,Y,2,92.2042,38.4221135872563,6185001,,319,ASH ST,,1913,ROBERT TYRIE,,N,0,1,3,0,85.01,85.01,2,85.01,165.92,250.93,0,0,0,,Unknown,,0,0,
"323 Ash Street was built in 1909. A foundation was added in 1911, by the owner, Abram James. It has a simple hipped roof with hipped dormer.",1898,3425,Y,2,130.4591,48.8747626151987,6449000,,323,ASH ST,,1909,A.M. PARSONS,,N,0,1,1,0,104.33,104.33,1,88.16,104.33,192.5,0,0,0,,Unknown,,0,0,
"In this simple house design, the Craftsman style is evident in the low pitched gabled roof, gabled entry porch, and exposed beam ends accentuated by triangular braces. The exterior is clad in shingles, clapboard siding, and stucco.",1899,3666,Y,2,109.58245,45.2792430661059,6794000,,413,ASH ST,,1926,MRS. LINDSAY,,N,0,1,1,0,78.04,78.04,2,78.04,78.04,156.08,0,0,0,20041201080000,Registered Unauthorized (Pre-1998),,0,0,
"Built in 1911 for the trustees of Stephen Maus, this Classic Box style house is built long and narrow on the lot. It has a hipped roof and added second-storey back entrance. The porch bas been enclosed and the original exterior cladding replaced.",1900,3668,Y,2,144.42825,51.5272351070086,6796000,,421,ASH ST,,1911,W. HUTCHESON,"LORD, JAMES",N,0,1,2,0,121.33,121.33,3,121.33,218.14,339.47,0,0,0,19990201080000,Multiple Suites,,0,0,
"The Arundel Mansions building was constructed in 1912 and designed by architects Thornton and Davis of Vancouver. It is constructed of brick and reinforced concrete and has six storeys and a basement. Its Late Victorian architecture features a bank of four 'bay windows' on the upper five floors of both the front and rear facades. The architectural style, with its strong vertical emphasis, provides a pleasant contrast to the horizontal elements in the adjacent College Place Hotel building. The original owner of the Arundel Mansions was G. Alers Hankey who also owned the Russell Hotel at that time. The Mansions building provided 68 apartment residential units and is now a combination of commercial and residential space. The building needs upgrading but its upper facade is very well-preserved. A wide variety of uses are allowed and the Mansions enjoys a location near the Law Courts and Douglas College which makes it attractive for uses to move in which complement the nature of the College/Courts Precinct. In 1988, the new owner of this building completed extensive repairs and renovations to the building. The accommodations were called 'affordable' residential units for inner City residents. The exterior facade was painted a bright 'pink' colour, which aroused considerable comment in the community. ",1901,72,Y,1,454.77313161,116.1287767691,356000,,48,BEGBIE ST,ARUNDAL MANSIONS,1912,G. ALERSLANKEY,THORNTON & JONES,N,16.76,1,6,0,299.71,299.71,21,299.71,1798.23,0,2097.94,0,0,,Unknown,,0,0,
"An excellent example of the Classic Box style, this house has a simple rectangular plan, with hipped roof and hipped dormer. The entry porch is unusual, because most examples of the Classic Box style have a full-width porch. As in many Colonial Revival houses, the entrance is accentuated by a triangular pediment which extends out, supported by classical columns, to form the entry porch.",1902,3655,Y,2,115.15265,45.7873708781167,6778000,,403,BENT CRT,,1911,,,N,0,1,2,0,82.59,82.59,2,78.5,161.09,239.6,0,0,0,,Unknown,,0,0,
"H.J. Bent was a carpenter and contractor in New Westminster. He built this house on the block, Bent Court, which he subdivided in 1911. His house has a side gabled roof with front cross gable and two-storey bay with a hipped cap. The exterior has been stuccoed.",1903,3653,Y,2,140.1756245,54.7713146658668,6776000,,609,BENT CRT,,1911,R. BEHARRELL,,N,0,1,2,0,106.93,106.93,0,62.43,169.36,231.79,0,0,0,,Unknown,,0,0,
"This simple, side gabled Colonial Revival house was built in 1913 at a cost of $2,500 by Burton Smith, financed by H.S. Beharrell.",1904,3652,Y,2,147.818008,52.4440727387842,6775000,,611,BENT CRT,,1913,H.S. BEHARRELL,,N,0,1,2,0,109.63,109.63,1,102.29,185.99,288.28,0,0,0,,Unknown,,0,0,
"Part of the 1911 subdivision of Bent Court, this house has a gabled roof with slightly flared eaves. The entrance is accentuated by a triangular pediment portico. Wide bands of trim emphasize the storey lines.",1905,3651,Y,2,103.4027615,42.7116481915401,6774000,,614,BENT CRT,,1911,"BENT, H.",,N,0,1,3,0,68.47,68.47,1,66.89,171.59,238.48,0,0,0,,Unknown,,0,0,
"This 1908 house has a front gabled roof with pent, slightly flared eaves, side gabled dormer, and a partially recessed front porch supported by a single classic column. Decorative features of the house include Queen Anne windows, and fish scale shingles on the gables.",1906,1680,Y,3,156.5283,54.2091207800788,3949000,,330,BLAIR AVE,,1908,J.C. BLAIR,,N,0,1,2,0,109.25,109.25,2,109.25,218.51,327.76,0,0,0,19980701080000,Registered Unauthorized (Pre-1998),,0,0,
"This cottage built around 1910, has a simple gabled roof. The exterior is covered in clapboard siding. The small balcony set over the front door is a distinguishing feature of this house.",1907,1682,Y,3,159.30255,54.7413250669375,3951000,,334,BLAIR AVE,,1910,JACOB & ELIZTH WARD,,N,0,1,2,0,93.09,93.09,1,38.83,118.64,157.47,0,0,0,,Unknown,,0,0,
"Built in 1913, this Craftsman style house has a side gabled roof with a prominent front gabled dormer. The extended eaves, exposed rafters, and bracketed cornice are common design elements of the Craftsman style.",1908,1668,Y,3,130.79085,47.9358823488873,3937000,,335,BLAIR AVE,,1913,T.S. TOWNSEND,,N,0,1,2,0,85.28,85.28,1,52.12,170.57,222.69,0,0,0,,Unknown,,0,0,
